Region,Day,Start,End,Session,Room/Level
47,Jan. 28,8:00 a.m.,12:00 p.m.,E2E Leadership Meeting,GB ABC / L3
47,Jan. 28,11:30 a.m.,4:30 p.m.,E2E Officer guided tour Merch Floor (Invited only),EH D-Backroom pad / L1
47,Jan. 28,3:00 p.m.,5:00 p.m.,Merchandise Floor Open tour,EH B-E  / L1
47,Jan. 28,5:30 p.m.,6:30 p.m.,Networking Reception (Invited Only),Lanier Ballroom / Hilton Hotel
47,Jan. 29,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,EH B-E  / L1
47,Jan. 29,8:00 a.m.,9:30 a.m.,General Session,Hall A / L3
47,Jan. 29,10:00 a.m.,10:45 a.m.,Fashion,EH - B / L1
47,Jan. 29,10:45 a.m. ,11:30 a.m.,Me@Walmart,EH - B / L1
47,Jan. 29,11:30 a.m.,12:15 p.m.,Food/Fresh,EH - C / L1
47,Jan. 29,12:15 p.m.,1:00 p.m.,GM Customer,EH - D / L1
47,Jan. 29,1:00 p.m.,1:45 p.m.,Lunch,Hall B / L3
47,Jan. 29,2:00 p.m.,2:45 p.m.,Backroom,EH - E / L1
47,Jan. 29,2:45 p.m.,3:30 p.m.,GM Style & Tech,EH - D / L1
47,Jan. 29,3:30 p.m.,4:15 p.m.,GM Summer & Seasonal,EH - C / L1
47,Jan. 29,4:30 p.m.,5:45 p.m.,Listening Session,GB ABC / L3
47,Jan. 30,6:00 a.m.,6:00 p.m.,Merchandise Floor Open tour,EH B-E  / L1
47,Jan. 30,8:00 a.m.,10:00 a.m.,West Business Unit Meeting,General Assembly / L3
47,Jan. 30,10:15 a.m.,11:15 a.m.,Regional Meeting,RM 310 / L3
47,Jan. 30,11:30 a.m.,12:15 p.m.,Consumables,EH - B / L1
47,Jan. 30,12:15 p.m.,1:00 p.m.,Frontend,EH - B / L1
47,Jan. 30,1:00 p.m.,1:45 p.m.,Lunch,Hall B / L3
47,Jan. 30,3:00 p.m.,5:15 p.m.,General Session & Awards,Hall A / L3
52,Jan. 28,8:00 a.m.,12:00 p.m.,E2E Leadership Meeting,GB ABC / L3
