Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2830,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3252,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3541,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5495,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5881,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5891,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2167,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2263,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2945,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3501,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5795,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2446,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3810,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2096,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2445,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3475,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3564,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
3565,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
