Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
97,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202222,54.29%,90.91%,10.9,40.00%,62.50%,28.60%,66.70%
106,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Degrading,Driver Supply Focus,202222,80.00%,93.94%,7.6,85.70%,66.70%,71.40%,100.00%
335,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,202222,57.14%,100.00%,13.2,,,,57.10%
671,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,-,Store Focus,202222,75.00%,63.64%,37.1,,,,75.00%
671,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,87.51%,79.95%,16,88.80%,85.90%,83.80%,91.20%
1053,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202222,90.49%,89.76%,7.6,92.30%,94.00%,87.00%,88.60%
3294,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202222,84.30%,70.90%,14,80.90%,87.60%,80.80%,89.50%
4450,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Store Focus,202222,90.02%,75.21%,12.9,97.90%,98.80%,88.70%,68.50%
7290,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202222,71.97%,86.30%,12.9,70.60%,85.20%,59.50%,79.30%
143,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Degrading,Driver Supply Focus,202222,80.85%,98.41%,7.3,85.70%,85.70%,83.30%,71.40%
491,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Recovering,Store Focus,202222,95.14%,92.31%,9.6,100.00%,66.70%,95.00%,95.70%
299,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202222,82.35%,80.23%,13.9,76.90%,86.40%,81.50%,81.30%
689,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202222,78.91%,80.70%,12.9,77.50%,82.40%,72.40%,88.20%
825,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202222,85.44%,95.41%,6.4,89.50%,77.80%,96.80%,76.90%
1113,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202222,86.22%,82.52%,15.3,83.60%,88.00%,84.00%,88.40%
1259,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202222,78.29%,73.51%,17.5,86.80%,75.80%,75.70%,74.10%
591,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Degrading,Driver Supply Focus,202222,76.92%,97.22%,4.8,66.70%,100.00%,85.70%,66.70%
1426,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,77.36%,82.07%,15,82.10%,90.50%,88.50%,44.10%
3894,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202222,78.05%,63.08%,15.9,83.30%,84.30%,58.30%,94.80%
3894,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,89.14%,68.91%,13.9,93.60%,92.80%,77.30%,92.10%
720,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,86.45%,77.32%,14.3,83.30%,86.40%,87.00%,89.20%
1210,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202222,85.34%,66.40%,16.6,88.90%,79.70%,88.50%,85.30%
4524,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202222,86.98%,91.78%,9,92.30%,93.10%,79.90%,81.10%
853,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,56.98%,56.08%,34.9,76.60%,55.40%,11.80%,55.90%
853,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,70.34%,59.56%,22.8,87.00%,71.10%,26.20%,65.60%
866,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202222,75.00%,71.53%,24,93.80%,72.00%,63.00%,78.90%
991,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Recovering,Store Focus,202222,89.33%,93.98%,12.1,92.40%,88.50%,92.30%,83.80%
991,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202222,90.78%,94.25%,10.9,90.90%,92.70%,90.90%,87.70%
1212,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,88.56%,80.87%,15.2,86.10%,89.00%,89.00%,89.00%
2748,DOORDASH,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202222,48.53%,42.25%,40.5,80.00%,23.10%,33.30%,57.90%
2748,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202222,67.35%,65.70%,15.7,81.30%,73.20%,64.30%,54.30%
4333,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,73.23%,64.51%,25.6,86.00%,84.60%,56.10%,64.80%
