Store,Removal Date,18D,36D
2610,6/17/2023,,2
3703,6/17/2023,,1
878,6/19/2023,,2
1198,6/19/2023,,2
1456,6/19/2023,1,3
1461,6/19/2023,1,3
1671,6/19/2023,,2
1965,6/19/2023,,2
1997,6/19/2023,,3
2122,6/19/2023,,2
2139,6/19/2023,,3
2341,6/19/2023,,3
2547,6/19/2023,,3
2941,6/19/2023,,2
3056,6/19/2023,,2
3154,6/19/2023,,1
3172,6/19/2023,,1
3173,6/19/2023,,1
3200,6/19/2023,,3
3583,6/19/2023,,2
4570,6/19/2023,,2
7185,6/19/2023,,2
344,6/20/2023,,2
503,6/20/2023,,2
774,6/20/2023,,2
776,6/20/2023,,2
1457,6/20/2023,,3
1637,6/20/2023,,2
1778,6/20/2023,,3
1833,6/20/2023,,2
2015,6/20/2023,,2
2038,6/20/2023,,2
2097,6/20/2023,,2
2136,6/20/2023,,2
2437,6/20/2023,1,3
2438,6/20/2023,,3
2520,6/20/2023,,2
3639,6/20/2023,,2
4258,6/20/2023,,1
4568,6/20/2023,,2
5343,6/20/2023,,3
5731,6/20/2023,,3
5779,6/20/2023,,2
5969,6/20/2023,1,3
293,6/21/2023,,2
312,6/21/2023,,2
350,6/21/2023,,2
437,6/21/2023,,2
951,6/21/2023,,2
1160,6/21/2023,1,3
1180,6/21/2023,1,3
1326,6/21/2023,,2
1508,6/21/2023,,3
1730,6/21/2023,,2
1943,6/21/2023,,2
2432,6/21/2023,,2
2841,6/21/2023,,2
2871,6/21/2023,,2
3339,6/21/2023,,2
3395,6/21/2023,,2
4456,6/21/2023,,1
5125,6/21/2023,,1
5880,6/21/2023,,3
539,6/22/2023,,2
1485,6/22/2023,1,3
3236,6/22/2023,,2
3278,6/22/2023,,2
3727,6/22/2023,,1
3778,6/22/2023,1,3
4295,6/22/2023,,2
4417,6/22/2023,,2
5142,6/22/2023,,2
5414,6/22/2023,,2
26,6/23/2023,,3
109,6/23/2023,,2
560,6/23/2023,,4
1054,6/23/2023,,2
2994,6/23/2023,1,3
