Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
41,97,UBER,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,202226,70.00%,92.86%,9.9,,100.00%,50.00%,66.70%
41,335,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,77.97%,64.83%,19.6,77.40%,79.50%,79.20%,76.10%
41,671,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202226,89.43%,81.27%,15.7,85.70%,90.10%,94.00%,87.80%
41,1053,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,86.34%,73.87%,9.2,87.50%,85.90%,85.20%,86.90%
41,3294,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202226,77.87%,62.63%,20.7,89.00%,81.30%,64.40%,83.80%
41,5418,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,81.86%,74.17%,14.9,85.80%,76.90%,82.30%,82.30%
41,7290,UBER,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202226,81.21%,84.52%,11.4,73.20%,80.00%,90.90%,82.90%
41,491,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202226,43.75%,87.18%,9.9,20.00%,85.70%,16.70%,55.60%
41,3362,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,84.24%,65.68%,12.4,80.10%,88.00%,88.00%,84.10%
41,299,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Recovering,Store Focus,202226,81.08%,78.95%,20.6,100.00%,87.50%,88.90%,54.50%
41,709,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,72.97%,72.37%,15.8,64.80%,80.60%,81.50%,71.00%
41,1165,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202226,83.14%,60.17%,18.4,85.10%,82.30%,75.70%,89.10%
41,1165,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,75.00%,52.94%,17.8,70.40%,66.70%,66.70%,89.80%
41,689,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202226,82.64%,82.83%,12.4,75.70%,83.70%,90.50%,81.40%
41,825,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202226,80.65%,100.00%,5.4,83.30%,66.70%,100.00%,72.70%
41,1113,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,82.92%,73.97%,13.7,87.80%,92.50%,93.20%,67.90%
41,1259,DOORDASH,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202226,86.55%,82.98%,18.7,98.10%,91.30%,82.20%,76.50%
41,1259,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,85.78%,83.55%,14.2,88.80%,90.10%,80.10%,81.40%
41,591,POINTPICKUP,Scheduled Express Delivery ,12,Executive Review,Degrading,Driver Supply Focus,202226,86.49%,100.00%,6.4,87.50%,100.00%,66.70%,100.00%
41,1426,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202226,73.53%,65.97%,17.3,89.90%,83.10%,42.80%,66.00%
41,3894,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202226,86.05%,68.69%,11.5,79.40%,86.70%,87.50%,95.20%
41,720,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202226,81.19%,77.48%,17.1,76.60%,83.70%,87.50%,75.60%
