Store Number,Rollback Program Store
4,Yes
5,Yes
7,Yes
9,Yes
10,Yes
12,Yes
14,Yes
15,Yes
16,Yes
17,Yes
19,Yes
20,Yes
21,Yes
23,Yes
24,Yes
28,Yes
29,Yes
34,Yes
35,Yes
37,Yes
38,Yes
39,Yes
41,Yes
46,Yes
48,Yes
58,Yes
59,Yes
62,Yes
65,Yes
67,Yes
69,Yes
70,Yes
72,Yes
76,Yes
82,Yes
86,Yes
87,Yes
89,Yes
90,Yes
93,Yes
95,Yes
98,Yes
103,Yes
104,Yes
105,Yes
108,Yes
112,Yes
113,Yes
114,Yes
119,Yes
124,Yes
127,Yes
131,Yes
133,Yes
134,Yes
135,Yes
139,Yes
143,Yes
144,Yes
147,Yes
151,Yes
152,Yes
154,Yes
157,Yes
159,Yes
160,Yes
163,Yes
165,Yes
168,Yes
170,Yes
172,Yes
175,Yes
180,Yes
184,Yes
186,Yes
189,Yes
192,Yes
194,Yes
195,Yes
199,Yes
200,Yes
201,Yes
202,Yes
205,Yes
211,Yes
212,Yes
217,Yes
219,Yes
221,Yes
227,Yes
228,Yes
231,Yes
239,Yes
243,Yes
249,Yes
257,Yes
258,Yes
263,Yes
266,Yes
268,Yes
272,Yes
275,Yes
279,Yes
280,Yes
284,Yes
286,Yes
301,Yes
303,Yes
309,Yes
310,Yes
319,Yes
322,Yes
323,Yes
328,Yes
329,Yes
331,Yes
335,Yes
345,Yes
346,Yes
348,Yes
355,Yes
356,Yes
360,Yes
363,Yes
365,Yes
369,Yes
370,Yes
371,Yes
372,Yes
379,Yes
383,Yes
386,Yes
388,Yes
389,Yes
391,Yes
395,Yes
396,Yes
397,Yes
398,Yes
399,Yes
400,Yes
402,Yes
404,Yes
407,Yes
408,Yes
410,Yes
413,Yes
417,Yes
420,Yes
423,Yes
427,Yes
428,Yes
429,Yes
434,Yes
437,Yes
440,Yes
443,Yes
448,Yes
449,Yes
450,Yes
452,Yes
456,Yes
457,Yes
458,Yes
459,Yes
461,Yes
462,Yes
463,Yes
464,Yes
467,Yes
468,Yes
469,Yes
470,Yes
471,Yes
472,Yes
475,Yes
481,Yes
484,Yes
489,Yes
490,Yes
494,Yes
497,Yes
499,Yes
500,Yes
502,Yes
504,Yes
505,Yes
508,Yes
510,Yes
512,Yes
513,Yes
526,Yes
529,Yes
530,Yes
531,Yes
532,Yes
535,Yes
536,Yes
538,Yes
