Store,SCO Count,Install Date,WIC @ SCO
501,26,1/14/2024,Yes
582,29,1/14/2024,Yes
711,23,1/14/2024,Yes
1261,17,1/14/2024,Yes
2412,23,1/14/2024,Yes
2987,28,1/14/2024,Yes
3288,22,1/14/2024,Yes
3332,21,1/14/2024,Yes
3384,23,1/14/2024,Yes
4635,20,1/14/2024,Yes
502,13,1/14/2024,Yes
591,19,1/14/2024,Yes
862,30,1/14/2024,No
1068,22,1/14/2024,Yes
2485,22,1/14/2024,Yes
2713,23,1/14/2024,Yes
3541,20,1/14/2024,No
3630,24,1/14/2024,Yes
4153,22,1/14/2024,No
4223,24,1/14/2024,Yes
4865,26,1/14/2024,No
5424,23,1/14/2024,Yes
3311,0,1/14/2024,No
