Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Tires on Demand ,Non Modular Tires,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
1,1320,1051,1003,29,17, 123 ,82.8%,170,171,
2,855,912,851,11,48, 123 ,85.7%,137,137,
3,700,792,727,39,24, 110 ,76.1%,109,109,
4,780,1201,1109,60,30, 107 ,91.7%,131,131,
5,780,984,827,29,126, 135 ,79.5%,143,143,
7,1320,1051,1004,7,38, 102 ,86.6%,164,164,
8,780,899,874,19,4, 115 ,93.6%,121,122,
9,780,779,734,23,20, 101 ,81.9%,123,123,
10,662,1028,805,120,101, 111 ,92.2%,111,111,
11,855,1034,985,26,21, 150 ,92.4%,140,141,
12,855,866,834,13,17, 100 ,88.6%,136,136,
13,700,738,671,42,23, 75 ,88.8%,103,103,
14,662,801,711,59,29, 93 ,91.5%,102,102,
15,1000,1108,1014,54,38, 123 ,93.9%,143,143,
16,780,818,791,17,8, 111 ,82.9%,126,126,
17,915,911,891,6,12, 105 ,83.6%,142,142,
18,400,442,413,13,14, 45 ,80.3%,76,76,
19,780,842,819,9,12, 101 ,91.3%,122,122,
20,700,832,790,19,21, 114 ,84.3%,111,111,
21,1320,1263,1143,73,45, 167 ,86.4%,166,166,
22,780,871,848,12,9, 110 ,87.2%,130,130,
23,1120,1143,1096,4,41, 143 ,92.0%,158,158,
24,780,893,749,64,78, 80 ,84.6%,117,117,
25,1320,1047,1023,18,4, 109 ,85.3%,167,167,
26,855,956,806,106,42, 139 ,78.9%,139,139,
28,1320,1122,1038,41,41, 100 ,91.4%,170,170,
29,780,894,816,20,56, 106 ,86.0%,133,133,
30,1200,953,932,10,9, 81 ,92.0%,159,159,
31,915,1047,1003,22,20, 124 ,91.1%,142,142,
32,855,801,722,50,27, 52 ,92.8%,121,121,
33,400,543,469,31,41, 56 ,89.5%,75,75,
34,855,917,793,60,62, 80 ,89.1%,125,125,
35,1320,1147,1092,34,19, 130 ,88.4%,169,169,
36,1000,1080,975,61,42, 111 ,89.7%,154,154,
37,855,783,767,10,4, 71 ,89.1%,125,125,
39,1320,1092,973,62,55, 81 ,83.8%,163,163,
40,915,810,777,23,8, 72 ,87.2%,138,138,
41,915,843,802,16,23, 76 ,84.8%,141,141,
43,855,892,841,28,21, 92 ,87.1%,136,136,
45,855,986,972,6,6, 116 ,88.2%,142,142,
46,498,820,667,96,55, 117 ,92.3%,88,88,
47,1320,1172,1105,43,22, 114 ,91.1%,164,164,
48,780,831,788,18,23, 87 ,90.7%,125,125,
52,1320,1177,1142,11,22, 129 ,92.3%,166,166,
54,915,966,919,28,17, 118 ,88.8%,141,141,
57,400,500,420,47,31, 41 ,91.9%,73,73,
58,1320,1433,1338,57,36, 284 ,84.1%,172,173,
59,855,910,830,51,27, 105 ,83.3%,135,135,
60,855,921,881,25,13, 90 ,92.1%,137,137,
