Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
1,"ROGERS, AR",BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
2,HARRISON AR,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
3,COMMERCE GA,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
4,SILOAM SPRINGS AR,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
5,CONWAY AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
7,NORTH LITTLE ROCK AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
8,MORRILTON AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
9,SIKESTON MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
10,TAHLEQUAH OK,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
11,MOUNTAIN HOME AR,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
12,CLAREMORE OK,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
13,CARTHAGE MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
14,LEBANON MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
15,WEST PLAINS MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
16,VAN BUREN AR,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
17,NEOSHO MO,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
18,NEWPORT AR,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
19,POPLAR BLUFF MO,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
21,ST ROBERT MO /WAYNESVILLE,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
22,PRYOR OK,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
23,RUSTON LA,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
24,JACKSONVILLE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
25,MEXICO MO,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
26,LEAVENWORTH KS,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
27,SALEM MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
28,MIAMI OK,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
29,JEFFERSON CITY MO,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
30,DEXTER MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
31,POTEAU OK,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
32,BRANSON MO,BASE STR Wal-Mart,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
33,NASHVILLE AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
34,NEVADA MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
35,MANHATTAN KS,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
36,PARAGOULD AR,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
37,FARMINGTON MO,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
38,IDABEL OK,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
39,FORT SCOTT KS,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
40,MOBERLY MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
42,COFFEYVILLE KS,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
43,JUNCTION CITY KS,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
45,JONESBORO AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
46,BOLIVAR MO,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
47,SALLISAW OK,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
48,MONETT MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
49,HUGO OK,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
50,VINITA OK,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
52,HOT SPRINGS AR,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
54,SPRINGDALE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
55,BOONEVILLE AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
56,AVA MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
