Store Number,City,State,Possession Date
18,NEWPORT,AR,8/7/2022
608,MIDLAND,TX,8/7/2022
673,CLARKSVILLE,TN,8/7/2022
871,MOUNTAIN VIEW,MO,8/7/2022
1335,LEXINGTON,VA,8/7/2022
1526,STORM LAKE,IA,8/7/2022
1533,PEORIA,AZ,8/7/2022
1817,HERMISTON,OR,8/7/2022
2131,TOPEKA,KS,8/7/2022
2192,HOUGHTON,MI,8/7/2022
2651,MANVILLE,NJ,8/7/2022
2714,SPENCER,IA,8/7/2022
2783,LEXINGTON,KY,8/7/2022
3067,NORCROSS,GA,8/7/2022
3645,MIDLAND (S),TX,8/7/2022
3912,Ledgewood (Mary Louise),NJ,8/7/2022
5096,PALM DESERT (C. CITY),CA,8/7/2022
5192,ANTELOPE,CA,8/7/2022
5965,CHICAGO,IL,8/7/2022
753,CEDAR FALLS,IA,8/14/2022
1170,LOUISVILLE,KY,8/14/2022
1190,BEREA,KY,8/14/2022
1274,WHITEWATER,WI,8/14/2022
1651,AMERICAN CANYON,CA,8/14/2022
1946,MASSENA,NY,8/14/2022
2325,PORT ORCHARD,WA,8/14/2022
2387,BRANDON (W),FL,8/14/2022
2891,ODESSA,TX,8/14/2022
3150,COUNCIL BLUFFS,IA,8/14/2022
4394,SPOKANE,WA,8/14/2022
5429,SURPRISE (SW),AZ,8/14/2022
491,PADUCAH,KY,8/21/2022
535,ABILENE,TX,8/21/2022
1324,NOGALES,AZ,8/21/2022
1471,NEW LONDON,WI,8/21/2022
1764,DES MOINES,IA,8/21/2022
1839,LORAIN,OH,8/21/2022
1989,LOMPOC,CA,8/21/2022
2016,COLVILLE,WA,8/21/2022
3394,ATLANTIC,IA,8/21/2022
5307,GARDNER,KS,8/21/2022
197,MACOMB,IL,8/28/2022
812,DUMAS,TX,8/28/2022
892,ANKENY,IA,8/28/2022
1500,WATERTOWN,SD,8/28/2022
1640,STATE COLLEGE,PA,8/28/2022
4438,SARATOGA SPRINGS,UT,8/28/2022
5296,BARBOURSVILLE,WV,8/28/2022
5320,GREENSBORO (SE),NC,8/28/2022
6394,NORTH SHORE,WI,8/28/2022
179,SPRINGFIELD,MO,9/4/2022
965,TOMAH,WI,9/11/2022
