Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month
7014,Systems Outage Cancelled,Cancelled,49,January 01,10:00 p.m.,,Central,GDC,First Sunday
6039,Systems Outage Cancelled,Cancelled,49,January 02,6:00 p.m.,,Central,RDC,First Monday
6040,Systems Outage Cancelled,Cancelled,49,January 02,11:30 p.m.,,Central,RDC,First Monday
6043,Systems Outage Cancelled,Cancelled,49,January 02,12:00 a.m.,,Central,RDC,First Monday
7036,Systems Outage Cancelled,Cancelled,49,January 03,1:00 a.m.,,Central,RDC,First Tuesday
7038,Systems Outage Cancelled,Cancelled,49,January 03,12:30 a.m.,,Central,RDC,First Tuesday
8851,Systems Outage Cancelled,Cancelled,49,January 03,8:00 p.m.,,Central,GDC,First Tuesday
6016,Systems Outage Cancelled,Cancelled,49,January 04,1:30 a.m.,,Central,RDC,First Wednesday
6031,Systems Outage Cancelled,Cancelled,49,January 04,3:00 a.m.,,Central,RDC,First Thursday
6035,Systems Outage Cancelled,Cancelled,49,January 04,1:30 a.m.,,Central,RDC,First Wednesday
7034,Systems Outage Cancelled,Cancelled,49,January 04,1:00 a.m,,Central,RDC,First Wednesday
6010,Systems Outage Cancelled,Cancelled,49,January 04,1:00 a.m.,,Central,RDC,First Wednesday
6012,Systems Outage Cancelled,Cancelled,49,January 05,1:00 a.m.,,Central,RDC,First Thursday
6061,Systems Outage Cancelled,Cancelled,49,January 05,11:30 p.m.,,Central,IDC,First Thursday
7033,Systems Outage Cancelled,Cancelled,49,January 06,5:00 a.m.,,Central,RDC,First Friday
6019,Systems Outage Cancelled,Cancelled,49,January 07,2:00 a.m.,,Central,RDC,First Saturday
7026,Systems Outage Cancelled,Cancelled,50,January 07,9:00 p.m.,,Central,RDC,First Saturday
6005,Systems Outage Cancelled,Cancelled,50,January 08,9:00 p.m.,,Central,RDC,First Sunday
6022,Systems Outage Cancelled,Cancelled,50,January 08,9:00 p.m.,,Central,RDC,First Sunday
6023,Systems Outage Cancelled,Cancelled,50,January 08,11:00 p.m.,,Central,RDC,Second Sunday
6055,Systems Outage Cancelled,Cancelled,50,January 08,11:30 p.m.,,Central,GDC,Second Sunday
7055,Systems Outage Cancelled,Cancelled,50,January 08,10:30 p.m.,,Central,GDC,First Sunday
6069,YMS 2.0,Scheduled,1,January 30,1:00 a.m.,4 Hours,Central,RDC,Second Monday
6021,Systems Outage Cancelled,Cancelled,50,January 09,4:30 a.m.,,Central,RDC,Second Monday
6072,Systems Outage Cancelled,Cancelled,50,January 09,12:30 a.m.,,Central,GDC,Second Monday
6085,Systems Outage Cancelled,Cancelled,50,January 09,12:30 a.m.,,Central,GDC,Second Monday
7018,Systems Outage Cancelled,Cancelled,50,January 09,12:00 a.m.,,Central,GDC,First Saturday
3960,Systems Outage Cancelled,Cancelled,50,January 10,1:00 a.m.,,Central,RDC,Second Tuesday
6006,Systems Outage Cancelled,Cancelled,50,January 10,12:00 a.m.,,Central,RDC,second Tuesday
6020,Systems Outage Cancelled,Cancelled,50,January 10,1:00 a.m.,,Central,RDC,Second Tuesday
6026,Systems Outage Cancelled,Cancelled,50,January 10,3:00 a.m.,,Central,RDC,Second Tuesday
6057,Systems Outage Cancelled,Cancelled,50,January 10,11:00 p.m.,,Central,GDC,Second Tuesday
6073,Systems Outage Cancelled,Cancelled,50,January 10,11:30 p.m.,,Central,GDC,Second Tuesday
6077,Systems Outage Cancelled,Cancelled,50,January 10,12:30 a.m.,,Central,GDC,Second Tuesday
6095,Systems Outage Cancelled,Cancelled,50,January 10,11:00 p.m.,,Central,GDC,Second Tuesday
7013,Systems Outage Cancelled,Cancelled,50,January 10,1:30 a.m.,,Central,GDC,Second Tuesday
7016,Systems Outage Cancelled,Cancelled,50,January 10,12:00 a.m.,,Central,GDC,Second Tuesday
7077,Systems Outage Cancelled,Cancelled,50,January 10,11:00 p.m.,,Central,GDC,Second Tuesday
6059,Systems Outage Cancelled,Cancelled,50,January 11,12:30 a.m.,,Central,GDC,Second Wednesday
6090,Systems Outage Cancelled,Cancelled,50,January 11,2:00 a.m.,,Central,GDC,Second Wednesday
6092,Systems Outage Cancelled,Cancelled,50,January 11,1:00 a.m.,,Central,RDC,Second Wednesday
7039,Systems Outage Cancelled,Cancelled,50,January 11,2:00 a.m.,,Central,RDC,Second Thursday
7048,Systems Outage Cancelled,Cancelled,50,January 11,1:00 a.m.,,Central,GDC,Second Wednesday
6070,YMS 2.0,Scheduled,1,January 30,1:00 a.m.,4 Hours,Central,RDC,Second Saturday
8397,Systems Outage Cancelled,Cancelled,50,January 12,3:00 a.m.,,Central,GDC,Second Thursday
6009,Systems Outage Cancelled,Cancelled,50,January 13,12:30 a.m.,,Central,RDC,Second Friday
6094,Systems Outage Cancelled,Cancelled,50,January 13,1:00 a.m.,,Central,RDC,Second Friday
6088,Systems Outage Cancelled,Cancelled,51,January 14,12:00 a.m.,,Central,IDC,Second Saturday
6041,Systems Outage Cancelled,Cancelled,51,January 15,9:00 p.m.,,Central,WPM,Third Sunday
6285,Systems Outage Cancelled,Cancelled,51,January 15,9:30 p.m.,,Central,GDC,Third Sunday
7079,Systems Outage Cancelled,Cancelled,51,January 15,1:30 a.m.,,Central,GDC,Third Sunday
7842,Systems Outage Cancelled,Cancelled,51,January 15,9:00 p.m.,,Central,WPM,Third Sunday
6011,Systems Outage Cancelled,Cancelled,51,January 16,12:00 a.m.,,Central,RDC,Third Monday
6042,Systems Outage Cancelled,Cancelled,51,January 16,12:30 a.m.,,Central,GDC,Third Monday
6062,Systems Outage Cancelled,Cancelled,51,January 16,12:30 a.m.,,Central,GDC,Third Monday
7010,Systems Outage Cancelled,Cancelled,51,January 16,1:00 a.m.,,Central,GDC,Third Monday
7012,Systems Outage Cancelled,Cancelled,51,January 16,11:30 p.m.,,Central,GDC,Third Monday
7042,Systems Outage Cancelled,Cancelled,51,January 16,12:00 a.m.,,Central,IDC,Third Monday
3951,Systems Outage Cancelled,Cancelled,51,January 17,1:00 a.m.,,Central,RDC,Third Tuesday
6047,Systems Outage Cancelled,Cancelled,51,January 17,10:30 p.m.,,Central,GDC,Third Tuesday
6064,Systems Outage Cancelled,Cancelled,51,January 17,12:30 a.m.,,Central,GDC,Third Tuesday
6065,Systems Outage Cancelled,Cancelled,51,January 17,12:30 a.m.,,Central,GDC,Third Tuesday
6096,Systems Outage Cancelled,Cancelled,51,January 17,11:30 p.m.,,Central,GDC,Third Tuesday
7017,Systems Outage Cancelled,Cancelled,51,January 17,11:00 p.m.,,Central,GDC,Third Tuesday
7021,Systems Outage Cancelled,Cancelled,51,January 17,1:00 a.m.,,Central,GDC,Third Tuesday
7047,Systems Outage Cancelled,Cancelled,51,January 17,3:00 a.m.,,Central,GDC,Third Tuesday
7078,Systems Outage Cancelled,Cancelled,51,January 17,2:00 a.m.,,Central,EDC,Third Tuesday
7084,Systems Outage Cancelled,Cancelled,51,January 17,2:30 a.m.,,Central,GDC,Third Tuesday
7095,Systems Outage Cancelled,Cancelled,51,January 17,4:00 a.m.,,Central,IMP,Third Wednesday
6068,Systems Outage Cancelled,Cancelled,51,January 18,2:00 a.m.,,Central,RDC,Third Wednesday
6091,Systems Outage Cancelled,Cancelled,51,January 18,12:00 a.m.,,Central,GDC,Third Wednesday
7015,Systems Outage Cancelled,Cancelled,51,January 18,10:00 p.m.,,Central,GDC,Third Wednesday
7024,Systems Outage Cancelled,Cancelled,51,January 18,11:00 p.m.,,Central,GDC,Third Wednesday
7045,Systems Outage Cancelled,Cancelled,51,January 18,1:00 a.m.,,Central,RDC,Third Wednesday
6037,Systems Outage Cancelled,Cancelled,51,January 19,2:00 a.m.,,Central,RDC,Third Thursday
6048,Systems Outage Cancelled,Cancelled,51,January 19,12:00 a.m.,,Central,RDC,Third Thursday
6054,Systems Outage Cancelled,Cancelled,51,January 19,1:00 a.m.,,Central,RDC,Third Thursday
6083,Systems Outage Cancelled,Cancelled,51,January 19,12:30 a.m.,,Central,GDC,Third Thursday
7030,Systems Outage Cancelled,Cancelled,51,January 19,12:00 a.m.,,Central,GDC,Third Thursday
6018,Systems Outage Cancelled,Cancelled,51,January 20,3:00 a.m.,,Central,RDC,Third Friday
6024,Systems Outage Cancelled,Cancelled,51,January 20,1:00 a.m.,,Central,RDC,Third Friday
