Store,Store City,Store State,Launch Week,Launch Date
4,SILOAM SPRINGS,AR,Week 4,2/22/2022
5261,PINEVILLE,MO,Week 4,2/22/2022
174,COCOA,FL,Week 5,3/1/2022
563,ORANGE CITY,FL,Week 5,3/1/2022
579,ST AUGUSTINE,FL,Week 5,3/1/2022
582,PORT ORANGE,FL,Week 5,3/1/2022
623,NORTH FORT MYERS,FL,Week 5,3/1/2022
666,SEBRING,FL,Week 5,3/1/2022
725,HAINES CITY,FL,Week 5,3/1/2022
769,VENICE,FL,Week 5,3/1/2022
928,SAINT JOHNS,FL,Week 5,3/1/2022
929,PORT ST LUCIE,FL,Week 5,3/1/2022
943,CASSELBERRY,FL,Week 5,3/1/2022
956,INDIAN HARBOUR BEACH,FL,Week 5,3/1/2022
960,DUNNELLON,FL,Week 5,3/1/2022
967,SPRING HILL,FL,Week 5,3/1/2022
973,FORT PIERCE,FL,Week 5,3/1/2022
1004,BRADENTON,FL,Week 5,3/1/2022
1068,SEBASTIAN,FL,Week 5,3/1/2022
1081,GAINESVILLE,FL,Week 5,3/1/2022
1084,ORLANDO,FL,Week 5,3/1/2022
1087,STUART,FL,Week 5,3/1/2022
1171,SARASOTA,FL,Week 5,3/1/2022
1182,PALM COAST,FL,Week 5,3/1/2022
1224,PENSACOLA,FL,Week 5,3/1/2022
1240,SIERRA VISTA,AZ,Week 5,3/1/2022
1297,CHIEFLAND,FL,Week 5,3/1/2022
1299,COTTONWOOD,AZ,Week 5,3/1/2022
1349,SUNRISE,FL,Week 5,3/1/2022
1381,APACHE JUNCTION,AZ,Week 5,3/1/2022
1387,CORAL SPRINGS,FL,Week 5,3/1/2022
1482,TAMPA,FL,Week 5,3/1/2022
1501,TAMPA,FL,Week 5,3/1/2022
1536,ST PETERSBURG,FL,Week 5,3/1/2022
1680,KENDALL,FL,Week 5,3/1/2022
1702,MELBOURNE,FL,Week 5,3/1/2022
1851,NORTH LAUDERDALE,FL,Week 5,3/1/2022
1916,COCONUT CREEK,FL,Week 5,3/1/2022
1957,NAPLES,FL,Week 5,3/1/2022
2091,DORAL,FL,Week 5,3/1/2022
2113,PHOENIX,AZ,Week 5,3/1/2022
2151,SUNRISE,FL,Week 5,3/1/2022
2512,PHOENIX,AZ,Week 5,3/1/2022
2777,SURPRISE,AZ,Week 5,3/1/2022
2881,KISSIMMEE,FL,Week 5,3/1/2022
4520,TALLAHASSEE,FL,Week 5,3/1/2022
5264,OSPREY,FL,Week 5,3/1/2022
5300,GIBSONTON,FL,Week 5,3/1/2022
5329,ANTHEM,AZ,Week 5,3/1/2022
5342,YUMA,AZ,Week 5,3/1/2022
5671,HOMESTEAD,FL,Week 5,3/1/2022
5727,BRADENTON,FL,Week 5,3/1/2022
15,WEST PLAINS,MO,Week 8,3/22/2022
