,Count,12,28,130,48,52,23,11,39
MKT,Store #,Disruptive/External Events,Real Estate Project,Pricing Test,SFS,Bagless Test,Holiday Hours Plus-up,Store Closures,Presub
238,5404,No,No,No,No,No,No,Yes,No
262,5038,No,No,No,No,No,No,Yes,No
269,4177,No,No,No,No,No,No,Yes,No
283,5941,No,No,No,No,No,No,Yes,No
385,831,No,No,No,No,No,No,Yes,No
442,2936,No,No,No,No,No,No,Yes,No
476,2552,No,No,No,No,No,No,Yes,No
476,5899,No,No,No,No,No,No,Yes,No
534,2685,No,No,No,No,No,No,Yes,No
548,4669,No,No,No,No,No,No,Yes,No
562,7310,No,No,No,No,No,No,Yes,No
10,356,No,No,No,Yes,No,No,No,No
103,4498,No,Yes,No,No,No,No,No,No
105,5347,Yes,No,No,Yes,No,Yes,No,No
109,3625,Yes,No,No,No,No,No,No,No
110,2727,Yes,No,No,No,No,No,No,No
110,2091,No,No,No,No,No,Yes,No,No
115,2459,No,No,No,No,No,Yes,No,No
115,5264,No,No,No,Yes,No,No,No,No
115,666,No,No,No,Yes,No,No,No,No
125,909,No,No,No,No,No,No,No,No
128,911,Yes,No,No,No,No,No,No,No
134,539,No,No,No,Yes,No,No,No,No
137,766,No,No,No,No,No,No,No,Yes
15,5872,No,No,No,No,No,No,No,No
152,674,No,No,No,No,No,No,No,Yes
152,1376,No,No,No,No,No,No,No,Yes
173,3548,No,No,No,No,No,Yes,No,No
179,1856,Yes,No,No,No,No,No,No,No
179,2013,No,Yes,No,Yes,No,No,No,No
187,3334,No,No,No,No,No,No,No,Yes
191,3332,No,No,No,No,No,No,No,Yes
192,2785,No,No,No,No,No,No,No,Yes
203,1423,No,No,No,No,No,No,No,Yes
204,1428,No,No,No,Yes,No,No,No,No
204,5097,No,No,No,No,No,No,No,Yes
209,1863,No,No,No,No,No,Yes,No,No
216,3581,No,No,No,No,No,No,No,Yes
217,1239,No,No,No,No,No,No,No,Yes
219,1594,No,No,No,No,No,No,No,Yes
22,594,No,No,No,No,No,No,No,No
223,2124,Yes,No,No,No,No,No,No,No
223,1331,No,No,No,No,No,No,No,Yes
225,1521,No,Yes,No,No,No,No,No,No
232,2169,No,No,No,No,No,No,No,Yes
237,2049,No,No,No,No,No,No,No,Yes
237,2230,No,No,No,No,No,No,No,Yes
247,2311,No,No,No,No,No,No,No,Yes
251,1310,No,No,No,Yes,No,No,No,No
260,571,No,No,No,No,No,No,No,Yes
263,1955,No,No,No,Yes,No,No,No,No
263,958,No,No,No,Yes,No,No,No,No
264,1553,No,No,Yes,No,No,No,No,No
264,5352,No,No,Yes,No,No,No,No,No
264,1420,No,No,Yes,No,No,No,No,No
265,1779,No,No,Yes,No,No,No,No,No
265,2215,No,No,Yes,No,No,No,No,No
266,1497,No,No,Yes,No,No,No,No,No
267,2816,No,No,Yes,No,No,No,No,No
268,1897,No,No,Yes,No,No,No,No,No
268,1681,No,No,Yes,No,No,No,No,No
268,1737,No,No,Yes,No,No,No,No,No
269,3891,Yes,No,No,No,No,No,No,No
269,5276,No,No,Yes,No,No,No,No,No
278,1028,No,No,No,Yes,No,No,No,No
283,1985,No,No,No,No,No,No,No,No
284,5436,No,No,No,No,Yes,No,No,No
285,2931,No,Yes,No,No,No,No,No,No
288,1682,No,No,No,No,No,Yes,No,No
293,2436,No,No,No,No,No,Yes,No,No
296,1579,No,Yes,No,No,No,No,No,No
296,2137,No,Yes,No,No,No,No,No,No
296,2256,No,Yes,No,No,No,No,No,No
297,2058,No,Yes,No,No,No,No,No,No
297,5118,No,Yes,No,No,No,No,No,No
301,5851,No,Yes,No,No,No,No,No,No
301,2000,No,No,No,No,No,No,No,No
309,1452,No,Yes,No,No,No,No,No,No
309,1010,No,No,No,Yes,No,No,No,No
311,2089,No,No,No,No,No,No,No,Yes
315,4697,No,No,No,No,No,No,No,Yes
32,3750,No,No,No,Yes,No,No,No,No
323,4108,No,Yes,No,No,No,No,No,No
323,1,No,No,No,No,No,No,No,Yes
326,24,No,No,No,No,No,No,No,No
326,2587,No,No,No,No,No,No,No,Yes
328,281,Yes,No,No,No,No,No,No,No
334,79,No,No,No,No,No,No,No,Yes
335,69,No,No,No,No,No,No,No,No
335,19,No,No,No,No,No,No,No,Yes
341,253,No,No,No,Yes,No,No,No,Yes
349,414,No,No,No,Yes,No,No,No,Yes
352,3430,No,No,No,Yes,No,No,No,No
353,743,No,No,No,Yes,No,No,No,No
364,1328,No,No,No,Yes,No,No,No,No
371,1746,No,No,No,No,No,Yes,No,No
375,869,No,No,No,No,Yes,No,No,No
375,966,No,No,No,No,Yes,No,No,No
376,5334,No,Yes,No,No,No,No,No,No
376,1689,No,No,No,No,Yes,Yes,No,No
376,1492,No,No,No,No,Yes,No,No,No
376,3313,No,No,No,No,Yes,No,No,No
376,5137,No,No,No,No,Yes,No,No,No
378,5033,No,No,No,No,Yes,No,No,No
378,1008,No,No,No,Yes,No,No,No,No
378,2729,No,No,No,Yes,No,No,No,No
379,905,No,No,No,No,Yes,No,No,No
379,1045,No,No,No,No,Yes,No,No,No
379,1231,No,No,No,No,Yes,No,No,No
379,1659,No,No,No,No,Yes,No,No,No
379,3867,No,No,No,No,Yes,No,No,No
379,4567,No,No,No,No,Yes,No,No,No
379,5370,No,No,No,No,Yes,No,No,No
379,5341,No,No,No,Yes,Yes,No,No,No
379,4288,No,No,No,Yes,No,No,No,No
380,2751,No,No,No,No,Yes,No,No,No
380,3566,No,No,No,No,Yes,No,No,No
384,5430,No,No,No,Yes,No,No,No,No
388,986,No,No,No,No,Yes,No,No,No
389,842,No,No,No,No,Yes,No,No,No
389,962,No,No,No,No,Yes,No,No,No
389,1273,No,No,No,No,Yes,No,No,No
389,3018,No,No,No,No,Yes,No,No,No
389,1001,No,No,No,Yes,Yes,No,No,No
39,396,No,Yes,No,No,No,No,No,No
391,1200,No,No,No,No,Yes,No,No,No
391,1434,No,No,No,No,Yes,No,No,No
391,1896,No,No,No,No,Yes,No,No,No
391,3582,No,No,No,No,Yes,No,No,No
391,3805,No,No,No,No,Yes,No,No,No
391,5123,No,No,No,No,Yes,No,No,No
399,2508,Yes,No,No,No,No,No,No,No
401,3454,No,No,No,No,No,Yes,No,No
401,5234,No,No,No,No,No,Yes,No,No
401,1699,No,No,No,Yes,No,No,No,No
403,1686,No,No,No,No,No,Yes,No,No
407,558,No,No,No,No,No,No,No,Yes
41,1164,No,Yes,No,No,No,No,No,No
430,1535,No,Yes,No,No,No,No,No,No
438,979,Yes,No,No,No,No,No,No,No
438,5397,No,No,No,No,No,No,No,Yes
44,1455,No,No,No,No,No,Yes,No,No
44,1801,No,No,No,No,No,No,No,No
445,1588,No,No,Yes,No,No,No,No,No
445,1692,No,No,Yes,No,No,No,No,No
445,1914,No,Yes,Yes,No,No,No,No,No
446,2032,No,No,Yes,No,No,No,No,No
446,2621,No,No,Yes,No,No,No,No,No
446,3180,No,No,Yes,No,No,No,No,No
446,3650,No,No,Yes,No,No,No,No,No
447,1624,No,No,Yes,No,No,No,No,No
447,1989,No,No,Yes,No,No,No,No,No
447,2507,No,No,Yes,No,No,No,No,No
447,2556,No,No,Yes,No,No,No,No,No
447,2557,No,No,Yes,No,No,No,No,No
447,4317,No,No,Yes,No,No,No,No,No
447,5134,No,No,Yes,No,No,No,No,No
447,1600,No,No,No,No,No,No,No,Yes
448,2297,No,No,Yes,No,No,No,No,No
448,3523,No,No,Yes,No,No,No,No,No
