Store,Date,Reg,0.01,0.05,0.1,0.25
54,5/24/2024,24,audit,,,
54,5/24/2024,58,audit,,,
54,5/24/2024,60,audit,,,
54,5/24/2024,70,audit,,,
54,5/24/2024,76,audit,,,
54,5/24/2024,90,audit,,,
54,5/24/2024,93,audit,,,
471,5/24/2024,20,audit,,,
471,5/24/2024,24,audit,,,
471,5/24/2024,41,audit,,,
471,5/24/2024,62,audit,,,
471,5/24/2024,68,audit,,,
471,5/24/2024,94,audit,,,
488,5/24/2024,9,audit,,,
488,5/24/2024,91,audit,,,
880,5/24/2024,10,2,1,0,2
880,5/24/2024,11,3,1,0,2
880,5/24/2024,12,3,1,2,2
880,5/24/2024,13,audit,,,
880,5/24/2024,14,4,1,2,2
880,5/24/2024,15,audit,,,
880,5/24/2024,16,4,1,0,2
880,5/24/2024,17,4,2,1,2
880,5/24/2024,40,0,0,0,0
880,5/24/2024,41,1,0,1,1
880,5/24/2024,58,0,0,0,1
880,5/24/2024,62,4,2,0,2
880,5/24/2024,63,1,1,0,1
880,5/24/2024,64,3,1,0,1
880,5/24/2024,67,audit,,,
880,5/24/2024,68,1,0,0,1
880,5/24/2024,74,1,1,1,1
880,5/24/2024,79,1,0,0,1
880,5/24/2024,90,0,0,1,1
880,5/24/2024,91,audit,,,
880,5/24/2024,92,4,2,2,2
880,5/24/2024,93,audit,,,
880,5/24/2024,95,0,0,0,1
880,5/24/2024,98,1,0,0,0
1082,5/24/2024,18,audit,,,
1801,5/24/2024,23,audit,,,
1801,5/24/2024,67,audit,,,
1801,5/24/2024,79,audit,,,
1801,5/24/2024,95,audit,,,
2918,5/24/2024,15,2,1,0,2
2918,5/24/2024,17,3,1,0,1
2918,5/24/2024,19,audit,,,
2918,5/24/2024,20,3,2,1,2
2918,5/24/2024,21,0,1,0,2
2918,5/24/2024,40,2,2,1,2
2918,5/24/2024,41,0,0,1,0
2918,5/24/2024,42,0,0,0,0
2918,5/24/2024,54,0,0,1,0
2918,5/24/2024,58,0,0,0,0
2918,5/24/2024,67,0,0,0,0
2918,5/24/2024,70,1,0,0,0
2918,5/24/2024,71,0,0,0,0
2918,5/24/2024,77,1,0,1,1
2918,5/24/2024,79,0,0,0,0
2918,5/24/2024,80,1,0,0,1
2918,5/24/2024,91,audit,,,
2918,5/24/2024,92,3,2,1,2
2918,5/24/2024,93,3,1,0,2
2918,5/24/2024,98,1,2,0,1
3014,5/24/2024,16,audit,,,
3014,5/24/2024,17,audit,,,
3014,5/24/2024,18,audit,,,
3014,5/24/2024,22,audit,,,
3014,5/24/2024,40,audit,,,
3014,5/24/2024,41,audit,,,
3014,5/24/2024,42,audit,,,
3014,5/24/2024,63,audit,,,
3014,5/24/2024,68,audit,,,
3014,5/24/2024,70,audit,,,
3014,5/24/2024,77,audit,,,
3014,5/24/2024,92,audit,,,
3284,5/24/2024,92,audit,,,
4681,5/24/2024,23,audit,,,
4681,5/24/2024,70,audit,,,
4681,5/24/2024,80,audit,,,
5080,5/24/2024,20,audit,,,
5080,5/24/2024,90,audit,,,
5172,5/24/2024,6,audit,,,
5172,5/24/2024,7,audit,,,
5172,5/24/2024,67,audit,,,
5172,5/24/2024,79,audit,,,
5316,5/24/2024,1,0,1,1,1
5316,5/24/2024,2,3,2,1,2
5316,5/24/2024,3,3,1,0,2
5316,5/24/2024,4,audit,,,
5316,5/24/2024,5,3,1,1,2
5316,5/24/2024,6,0,1,0,2
5316,5/24/2024,7,3,2,1,2
5316,5/24/2024,8,2,1,1,2
5316,5/24/2024,9,2,2,1,2
5316,5/24/2024,10,2,1,0,2
5316,5/24/2024,11,3,1,1,2
5316,5/24/2024,12,2,1,1,2
5316,5/24/2024,13,1,0,0,0
5316,5/24/2024,14,1,0,0,0
5316,5/24/2024,58,0,2,0,0
5316,5/24/2024,59,1,0,1,1
5316,5/24/2024,67,0,1,1,1
5316,5/24/2024,68,1,1,1,1
5316,5/24/2024,71,0,1,1,1
5316,5/24/2024,72,audit,,,
5316,5/24/2024,77,1,1,1,0
5316,5/24/2024,78,audit,,,
5316,5/24/2024,79,1,1,1,1
5316,5/24/2024,90,0,0,0,0
5316,5/24/2024,91,0,0,0,0
5316,5/24/2024,92,1,1,1,0
5316,5/24/2024,93,2,2,1,2
5316,5/24/2024,94,3,1,0,1
5316,5/24/2024,95,audit,,,
5316,5/24/2024,98,1,1,1,1
5316,5/22/2024,98,0,1,1,1
7601,5/24/2024,8,audit,,,
8861,5/24/2024,1,audit,,,
8861,5/24/2024,2,audit,,,
