Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Box  Count
1,TBD,TBD,TBD,TBD
2,9/28/2021,7 am - 6 pm,Vital Records Control (VRC),27
3,3/10/2022,7 am - 6 pm,Vital Records Control (VRC),65
4,9/3/2021,7 am - 6 pm,Vital Records Control (VRC),60
5,TBD,TBD,TBD,TBD
7,TBD,TBD,TBD,TBD
8,TBD,TBD,TBD,TBD
9,TBD,TBD,TBD,TBD
10,TBD,TBD,TBD,TBD
11,TBD,TBD,TBD,TBD
12,TBD,TBD,TBD,TBD
13,TBD,TBD,TBD,TBD
14,TBD,TBD,TBD,TBD
15,8/9/2021,7 am - 6 pm,Vital Records Control (VRC),80
16,TBD,TBD,TBD,TBD
17,TBD,TBD,TBD,TBD
18,TBD,TBD,TBD,TBD
19,TBD,TBD,TBD,TBD
20,TBD,TBD,TBD,TBD
21,TBD,TBD,TBD,TBD
22,TBD,TBD,TBD,TBD
23,TBD,TBD,TBD,TBD
24,TBD,TBD,TBD,TBD
25,TBD,TBD,TBD,TBD
26,TBD,TBD,TBD,TBD
27,TBD,TBD,TBD,TBD
28,TBD,TBD,TBD,TBD
29,TBD,TBD,TBD,TBD
30,TBD,TBD,TBD,TBD
31,TBD,TBD,TBD,TBD
32,TBD,TBD,TBD,TBD
33,TBD,TBD,TBD,TBD
34,TBD,TBD,TBD,TBD
35,TBD,TBD,TBD,TBD
36,TBD,TBD,TBD,TBD
37,TBD,TBD,TBD,TBD
38,TBD,TBD,TBD,TBD
39,TBD,TBD,TBD,TBD
40,8/9/2021,7 am - 6 pm,Vital Records Control (VRC),153
41,TBD,TBD,TBD,TBD
42,TBD,TBD,TBD,TBD
43,TBD,TBD,TBD,TBD
44,TBD,TBD,TBD,TBD
45,TBD,TBD,TBD,TBD
46,TBD,TBD,TBD,TBD
47,TBD,TBD,TBD,TBD
48,7/6/2021,7 am - 6 pm,Vital Records Control (VRC),48
49,TBD,TBD,TBD,TBD
50,TBD,TBD,TBD,TBD
51,TBD,TBD,TBD,TBD
52,TBD,TBD,TBD,TBD
54,TBD,TBD,TBD,TBD
55,TBD,TBD,TBD,TBD
56,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),68
57,TBD,TBD,TBD,TBD
58,TBD,TBD,TBD,TBD
59,TBD,TBD,TBD,TBD
60,TBD,TBD,TBD,TBD
61,TBD,TBD,TBD,TBD
62,TBD,TBD,TBD,TBD
63,TBD,TBD,TBD,TBD
64,TBD,TBD,TBD,TBD
65,8/20/2021,7 am - 6 pm,Vital Records Control (VRC),146
66,TBD,TBD,TBD,TBD
67,TBD,TBD,TBD,TBD
68,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),72
69,TBD,TBD,TBD,TBD
70,TBD,TBD,TBD,TBD
71,TBD,TBD,TBD,TBD
72,9/15/2021,7 am - 6 pm,Vital Records Control (VRC),121
73,TBD,TBD,TBD,TBD
74,TBD,TBD,TBD,TBD
75,TBD,TBD,TBD,TBD
76,TBD,TBD,TBD,TBD
77,5/27/2021,7 am - 5 pm,Iron Mountain ,56
78,8/27/2021,7 am - 6 pm,Vital Records Control (VRC),137
79,TBD,TBD,TBD,TBD
80,TBD,TBD,TBD,TBD
81,TBD,TBD,TBD,TBD
82,TBD,TBD,TBD,TBD
83,TBD,TBD,TBD,TBD
85,TBD,TBD,TBD,TBD
86,TBD,TBD,TBD,TBD
87,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),149
88,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),106
89,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),131
90,TBD,TBD,TBD,TBD
91,TBD,TBD,TBD,TBD
92,TBD,TBD,TBD,TBD
93,5/27/2021,7 am - 6 pm,Vital Records Control (VRC),193
94,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),28
95,TBD,TBD,TBD,TBD
96,TBD,TBD,TBD,TBD
97,TBD,TBD,TBD,TBD
98,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),174
99,TBD,TBD,TBD,TBD
100,TBD,TBD,TBD,TBD
101,TBD,TBD,TBD,TBD
102,TBD,TBD,TBD,TBD
103,TBD,TBD,TBD,TBD
104,TBD,TBD,TBD,TBD
105,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),93
106,TBD,TBD,TBD,TBD
107,TBD,TBD,TBD,TBD
108,TBD,TBD,TBD,TBD
109,TBD,TBD,TBD,TBD
110,TBD,TBD,TBD,TBD
111,TBD,TBD,TBD,TBD
112,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),142
113,TBD,TBD,TBD,TBD
114,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),68
115,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),137
