Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
41,97,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202217,69.61%,96.73%,7.5,75.00%,38.50%,83.30%,63.00%,
41,106,POINTPICKUP,Scheduled Express Delivery ,6,At Risk,Recovering,Store Focus,202217,91.30%,85.71%,7.2,100.00%,83.30%,100.00%,66.70%,
41,587,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Recovering,Driver Supply Focus,202217,89.25%,91.51%,8.8,100.00%,92.30%,80.80%,85.70%,
41,671,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,55.17%,83.12%,15.1,42.10%,50.00%,61.50%,68.80%,
41,3294,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,80.86%,76.71%,5.7,84.10%,74.70%,79.10%,86.00%,
41,4450,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202217,81.99%,71.58%,8.6,84.30%,87.60%,86.30%,65.60%,
41,7290,UBER,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202217,79.43%,90.73%,10.8,88.50%,86.10%,78.60%,67.60%,
41,143,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Degrading,Driver Supply Focus,202217,79.66%,96.43%,6.2,84.60%,66.70%,60.00%,95.50%,
41,491,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202217,90.84%,93.17%,6.6,89.50%,88.30%,89.90%,95.50%,
41,655,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Driver Supply Focus,202217,95.05%,90.99%,8.2,100.00%,95.70%,85.20%,100.00%,
41,299,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Store Focus,202217,89.00%,81.60%,7.8,94.90%,71.80%,90.80%,94.30%,
41,4118,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Recovering,Store Focus,202217,92.31%,100.00%,9.1,93.80%,90.00%,100.00%,83.30%,
