Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Updated,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
781,SPARK,Scheduled Standard Delivery,43,Executive Review,Degrading,Driver Supply Focus,202405,88.50%,98.80%,7.7,87.70%,84.50%,88.10%,94.20%
63,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202405,91.10%,99.40%,7.1,88.10%,91.60%,88.40%,96.00%
111,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202405,88.30%,94.10%,8.3,90.00%,93.70%,82.80%,86.80%
794,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202405,93.10%,94.30%,9.5,92.80%,95.80%,94.40%,89.40%
532,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202405,90.70%,98.90%,9.6,87.30%,91.60%,89.30%,94.90%
3167,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202405,85.60%,94.60%,9.1,88.40%,88.50%,75.80%,89.50%
3106,SPARK,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202405,93.70%,93.30%,9,97.60%,96.90%,91.80%,87.70%
5145,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202405,89.20%,98.90%,7.1,92.90%,95.20%,93.00%,77.60%
482,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202405,86.40%,100.00%,4.7,90.70%,86.20%,90.30%,75.90%
293,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202405,90.40%,97.60%,3.4,90.00%,83.30%,91.30%,95.50%
567,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202405,60.50%,100.00%,3.9,44.40%,70.00%,54.50%,69.20%
2515,UBER,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202405,90.30%,94.70%,9.6,94.20%,89.70%,90.00%,88.40%
4053,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202405,88.70%,95.10%,9,92.80%,84.40%,88.40%,89.50%
493,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202405,84.30%,96.10%,8.6,84.00%,82.00%,87.30%,83.70%
2783,UBER,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202405,91.70%,96.10%,9.3,87.50%,100.00%,91.90%,87.70%
4450,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202405,90.80%,95.50%,8.9,87.10%,93.30%,87.90%,95.00%
1423,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202405,91.30%,95.80%,7.6,89.20%,98.20%,91.10%,87.10%
1432,SPARK,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202405,89.80%,94.70%,9.4,90.30%,88.30%,90.10%,90.80%
2354,SPARK,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202405,91.40%,95.60%,8.2,93.80%,90.40%,93.30%,88.20%
3632,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202405,87.30%,100.00%,6.2,87.50%,88.00%,87.50%,86.10%
