Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,1118,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202412,91.50%,98.50%,7.8,92.90%,88.70%,91.20%,93.50%
7,781,SPARK,Scheduled Standard Delivery,42,Executive Review,Recovering,Driver Supply Focus,202412,93.20%,96.20%,8.3,93.90%,97.20%,93.00%,89.00%
44,38,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202412,82.70%,99.00%,6.9,89.90%,67.50%,76.60%,94.70%
44,427,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202412,81.20%,95.40%,8.8,89.60%,81.20%,72.30%,80.80%
44,276,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202412,87.10%,99.00%,5.5,92.00%,93.30%,76.10%,87.10%
13,541,UBER,Scheduled Standard Delivery,35,Executive Review,Degrading,Driver Supply Focus,202412,76.20%,96.50%,9.6,84.60%,68.90%,,
7,2133,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202412,87.00%,89.80%,9.9,85.90%,89.70%,87.70%,84.30%
7,3106,UBER,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202412,92.00%,98.70%,9.2,98.70%,90.40%,81.10%,97.30%
6,2765,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202412,84.80%,99.70%,7.4,85.30%,82.60%,83.70%,87.40%
6,1098,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202412,86.60%,99.80%,5.7,90.50%,81.80%,91.50%,82.00%
6,482,SPARK,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202412,94.60%,100.00%,3.1,97.10%,86.70%,100.00%,94.40%
6,4526,UBER,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202412,89.70%,97.40%,9.6,93.30%,91.20%,85.10%,89.10%
6,5612,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202412,87.70%,97.30%,8.8,89.20%,87.60%,85.60%,88.40%
6,5612,UBER,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202412,86.70%,95.70%,8.2,88.80%,88.50%,81.40%,88.20%
6,5959,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202412,84.60%,98.10%,7.7,88.00%,84.70%,83.00%,82.60%
6,293,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202412,89.40%,98.80%,3.8,95.50%,91.30%,90.00%,80.00%
6,567,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202412,72.30%,100.00%,5.3,66.70%,81.80%,30.00%,100.00%
59,4053,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202412,79.20%,89.80%,7.1,73.70%,79.60%,81.20%,82.00%
59,5804,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202412,91.60%,96.80%,5.1,92.30%,89.00%,,100.00%
41,4450,UBER,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202412,91.00%,97.30%,8.6,93.40%,90.50%,92.60%,88.40%
19,1429,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202412,94.40%,96.50%,9.7,96.10%,87.80%,96.40%,97.40%
19,1423,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202412,94.30%,98.10%,6.8,100.00%,96.10%,99.00%,85.10%
19,2866,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202412,89.40%,97.60%,5.8,89.10%,88.70%,94.30%,85.20%
19,1428,UBER,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202412,94.30%,95.60%,10,89.50%,97.40%,94.90%,95.10%
19,1798,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202412,91.30%,96.00%,7.4,95.40%,95.80%,89.90%,84.60%
19,2354,UBER,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202412,88.90%,95.70%,7.6,88.60%,93.90%,89.10%,85.30%
19,3632,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202412,90.80%,100.00%,6,93.60%,98.00%,87.00%,84.50%
25,1734,UBER,Scheduled Standard Delivery,36,Executive Review,Recovering,Driver Supply Focus,202412,90.90%,93.00%,8.5,92.50%,89.60%,91.00%,90.90%
25,957,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202412,90.20%,98.40%,5.1,95.70%,95.30%,81.10%,90.00%
25,5402,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202412,90.40%,92.80%,9.1,91.90%,87.70%,92.00%,90.20%
25,5617,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202412,90.80%,93.60%,7.9,92.80%,85.80%,91.10%,94.40%
20,2300,SPARK,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202412,92.40%,88.20%,9.6,92.40%,85.20%,94.80%,97.00%
20,2008,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202412,87.60%,99.80%,5.3,92.80%,92.50%,77.40%,89.40%
20,1739,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202412,92.20%,94.40%,9.1,95.90%,85.60%,94.40%,92.50%
