Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
1,4067534,Do Not Sell,4/15/2022 8:37:58 PM,2022-04-08T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,MARK II,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654207204
1,MV0766392,Do Not Sell,2/18/2022 10:06:55 PM,2022-01-25T12:00:00,MOSSBERG,MAVERICK MODEL 88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322005
2,21P4103140,Do Not Sell,7/21/2021 7:51:35 PM,2021-04-23T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
4,410A20-002631,Do Not Sell,8/9/2021 6:32:38 PM,2021-01-08T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,410 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150810
4,P340949D,Display Available,2/13/2022 1:03:31 PM,2022-02-11T12:00:00,SAVAGE ARMS USA,AXIS,350 LEGEND,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",011356228918
8,12A21-011625,Do Not Sell,2/14/2022 11:04:29 PM,2022-01-26T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,12 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150834
9,20S21006459,Backroom Available,3/28/2022 8:21:36 PM,2022-03-28T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
10,40205,Display Available,6/4/2022 7:49:04 PM,2022-06-04T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402050
10,G413042,Display Available,11/20/2021 3:10:38 AM,2005-10-14T12:00:00,SAVAGE ARMS,11,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174871
11,KRA106228,Do Not Sell,9/18/2021 7:28:07 PM,2021-06-05T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204246
