Region ,Market ,Goal ,,,,,,
2,Region Total ,77.7%,,,,,,
2,18,76.9%,,,,,,
2,19,69.1%,,,,,,
2,20,94.6%,,,,,,
2,21,70.9%,,,,,,
2,22,86.9%,,,,,,
2,23,70.0%,,,,,,
2,24,77.3%,,,,,,
2,25,62.7%,,,,,,
2,26,71.6%,,,,,,
2,30,97.5%,,,,,,
2,32,84.0%,,,,,,
3,Region Total,68.8%,,,,,,
3,27,97.3%,,,,,,
3,28,81.6%,,,,,,
3,89,75.9%,,,,,,
3,93,61.8%,,,,,,
3,94,68.6%,,,,,,
3,95,62.1%,,,,,,
3,98,62.0%,,,,,,
3,101,62.7%,,,,,,
3,104,58.3%,,,,,,
3,111,79.4%,,,,,,
3,112,56.9%,,,,,,
3,114,70.4%,,,,,,
4,Region Total,85.4%,,,,,,
4,29,99.7%,,,,,,
4,33,100.8%,,,,,,
4,35,98.4%,,,,,,
4,36,111.7%,,,,,,
4,37,57.6%,,,,,,
4,38,68.9%,,,,,,
4,39,82.2%,,,,,,
4,41,94.3%,,,,,,
4,42,84.5%,,,,,,
4,294,72.4%,,,,,,
4,300,96.4%,,,,,,
4,310,70.9%,,,,,,
5,Region Total,78.8%,,,,,,
5,44,94.2%,,,,,,
5,45,74.7%,,,,,,
5,48,65.2%,,,,,,
5,49,85.6%,,,,,,
5,50,94.3%,,,,,,
5,51,81.3%,,,,,,
5,52,102.6%,,,,,,
5,53,61.7%,,,,,,
5,55,88.2%,,,,,,
5,56,87.8%,,,,,,
5,76,60.6%,,,,,,
5,479,68.8%,,,,,,
5,583,59.4%,,,,,,
6,Region Total,59.4%,,,,,,
6,59,82.0%,,,,,,
6,60,52.9%,,,,,,
6,61,62.5%,,,,,,
6,62,66.1%,,,,,,
6,63,52.2%,,,,,,
6,64,63.4%,,,,,,
6,65,52.3%,,,,,,
6,67,56.5%,,,,,,
6,78,54.3%,,,,,,
6,80,36.6%,,,,,,
6,84,53.1%,,,,,,
6,85,77.1%,,,,,,
6,569,52.9%,,,,,,
7,Region Total,68.1%,,,,,,
7,70,83.6%,,,,,,
7,71,78.1%,,,,,,
7,73,51.2%,,,,,,
7,74,82.8%,,,,,,
7,77,57.5%,,,,,,
7,81,80.8%,,,,,,
7,82,85.8%,,,,,,
7,83,84.9%,,,,,,
7,86,60.9%,,,,,,
7,87,57.5%,,,,,,
7,88,43.5%,,,,,,
7,505,51.2%,,,,,,
7,506,67.9%,,,,,,
9,Region Total,60.3%,,,,,,
