Store #,Tier Name,Article #
1,Tier 03,100673607
2,Tier 03,100673607
3,Tier 01 ,100673605
4,Tier 03,100673607
5,Tier 03,100673607
7,Tier 03,100673607
8,Tier 03,100673607
9,Tier 05,100673609
10,Tier 03,100673607
11,Tier 03,100673607
12,Tier 03,100673607
13,Tier 05,100673609
14,Tier 05,100673609
15,Tier 02 ,100673606
16,Tier 03,100673607
17,Tier 05,100673609
18,Tier 03,100673607
19,Tier 04,100673608
20,Tier 05,100673609
21,Tier 05,100673609
22,Tier 03,100673607
23,Tier 03,100673607
24,Tier 03,100673607
25,Tier 04,100673608
26,Tier 05,100673609
27,Tier 05,100673609
28,Tier 04,100673608
29,Tier 04,100673608
30,Tier 05,100673609
31,Tier 03,100673607
32,Tier 05,100673609
33,Tier 03,100673607
34,Tier 05,100673609
35,Tier 05,100673609
36,Tier 05,100673609
37,Tier 05,100673609
38,Tier 04,100673608
39,Tier 05,100673609
40,Tier 05,100673609
41,Tier 05,100673609
42,Tier 05,100673609
43,Tier 05,100673609
44,Tier 05,100673609
45,Tier 02 ,100673606
46,Tier 05,100673609
47,Tier 03,100673607
48,Tier 05,100673609
49,Tier 04,100673608
50,Tier 05,100673609
51,Tier 04,100673608
52,Tier 03,100673607
54,Tier 03,100673607
55,Tier 03,100673607
56,Tier 05,100673609
57,Tier 05,100673609
58,Tier 03,100673607
59,Tier 05,100673609
60,Tier 03,100673607
61,Tier 05,100673609
62,Tier 05,100673609
63,Tier 03,100673607
64,Tier 03,100673607
65,Tier 05,100673609
66,Tier 03,100673607
67,Tier 03,100673607
68,Tier 03,100673607
69,Tier 03,100673607
70,Tier 03,100673607
71,Tier 05,100673609
72,Tier 05,100673609
73,Tier 03,100673607
74,Tier 03,100673607
75,Tier 03,100673607
76,Tier 03,100673607
77,Tier 03,100673607
78,Tier 05,100673609
79,Tier 05,100673609
80,Tier 04,100673608
81,Tier 03,100673607
82,Tier 05,100673609
83,Tier 03,100673607
85,Tier 03,100673607
86,Tier 05,100673609
87,Tier 03,100673607
88,Tier 05,100673609
89,Tier 05,100673609
90,Tier 03,100673607
91,Tier 03,100673607
92,Tier 05,100673609
93,Tier 03,100673607
94,Tier 03,100673607
95,Tier 05,100673609
96,Tier 05,100673609
97,Tier 03,100673607
98,Tier 03,100673607
99,Tier 05,100673609
100,Tier 03,100673607
101,Tier 05,100673609
102,Tier 03,100673607
103,Tier 03,100673607
104,Tier 03,100673607
105,Tier 03,100673607
106,Tier 03,100673607
107,Tier 03,100673607
108,Tier 03,100673607
109,Tier 05,100673609
110,Tier 01 ,100673605
111,Tier 05,100673609
112,Tier 02 ,100673606
113,Tier 05,100673609
114,Tier 02 ,100673606
115,Tier 02 ,100673606
116,Tier 04,100673608
117,Tier 04,100673608
118,Tier 02 ,100673606
119,Tier 03,100673607
120,Tier 03,100673607
121,Tier 03,100673607
122,Tier 05,100673609
123,Tier 03,100673607
124,Tier 03,100673607
125,Tier 03,100673607
126,Tier 03,100673607
127,Tier 03,100673607
128,Tier 05,100673609
129,Tier 03,100673607
130,Tier 03,100673607
131,Tier 03,100673607
132,Tier 03,100673607
133,Tier 03,100673607
134,Tier 05,100673609
135,Tier 05,100673609
136,Tier 05,100673609
137,Tier 05,100673609
138,Tier 05,100673609
139,Tier 03,100673607
140,Tier 03,100673607
141,Tier 03,100673607
143,Tier 04,100673608
144,Tier 03,100673607
145,Tier 04,100673608
146,Tier 03,100673607
147,Tier 03,100673607
148,Tier 03,100673607
149,Tier 04,100673608
150,Tier 05,100673609
151,Tier 03,100673607
152,Tier 05,100673609
153,Tier 03,100673607
154,Tier 04,100673608
155,Tier 03,100673607
157,Tier 03,100673607
158,Tier 04,100673608
159,Tier 04,100673608
160,Tier 03,100673607
161,Tier 02 ,100673606
162,Tier 03,100673607
163,Tier 03,100673607
164,Tier 03,100673607
165,Tier 01 ,100673605
166,Tier 05,100673609
167,Tier 03,100673607
168,Tier 03,100673607
169,Tier 03,100673607
170,Tier 04,100673608
171,Tier 03,100673607
172,Tier 04,100673608
173,Tier 05,100673609
174,Tier 02 ,100673606
175,Tier 03,100673607
176,Tier 01 ,100673605
177,Tier 03,100673607
178,Tier 05,100673609
179,Tier 05,100673609
180,Tier 04,100673608
181,Tier 05,100673609
182,Tier 03,100673607
183,Tier 02 ,100673606
184,Tier 05,100673609
185,Tier 04,100673608
186,Tier 05,100673609
188,Tier 05,100673609
189,Tier 05,100673609
190,Tier 05,100673609
192,Tier 02 ,100673606
194,Tier 04,100673608
195,Tier 05,100673609
196,Tier 05,100673609
197,Tier 01 ,100673605
198,Tier 01 ,100673605
199,Tier 01 ,100673605
200,Tier 01 ,100673605
201,Tier 03,100673607
202,Tier 04,100673608
203,Tier 05,100673609
204,Tier 04,100673608
205,Tier 02 ,100673606
206,Tier 03,100673607
207,Tier 05,100673609
209,Tier 03,100673607
210,Tier 05,100673609
211,Tier 03,100673607
212,Tier 03,100673607
213,Tier 01 ,100673605
214,Tier 04,100673608
216,Tier 05,100673609
217,Tier 03,100673607
218,Tier 03,100673607
219,Tier 05,100673609
220,Tier 03,100673607
221,Tier 03,100673607
222,Tier 04,100673608
224,Tier 01 ,100673605
225,Tier 05,100673609
226,Tier 05,100673609
227,Tier 03,100673607
228,Tier 03,100673607
229,Tier 03,100673607
230,Tier 04,100673608
231,Tier 05,100673609
232,Tier 03,100673607
233,Tier 05,100673609
234,Tier 05,100673609
236,Tier 04,100673608
237,Tier 05,100673609
238,Tier 02 ,100673606
239,Tier 03,100673607
240,Tier 04,100673608
242,Tier 05,100673609
243,Tier 03,100673607
244,Tier 03,100673607
246,Tier 04,100673608
247,Tier 03,100673607
248,Tier 05,100673609
249,Tier 03,100673607
250,Tier 05,100673609
251,Tier 04,100673608
252,Tier 01 ,100673605
253,Tier 01 ,100673605
254,Tier 05,100673609
256,Tier 04,100673608
257,Tier 05,100673609
258,Tier 02 ,100673606
259,Tier 03,100673607
260,Tier 03,100673607
261,Tier 03,100673607
262,Tier 01 ,100673605
263,Tier 03,100673607
