Primary,Business Domain,Data Group ,,,,
(Sub-Domain),Data Sub-Group ,,,,,
(Business Process),Data Classification,Data Category,Scope,,,
English,All Domains,All Sub-Domains,Due diligences or risk assessment results (AML/ AC/ other compliance area),Highly Sensitive,Business Information,Global
English,All Domains,Background and Criminal Information,Criminal convictions and offences,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Biometric identifiers (Facial/voice biometrics data used for identification purposes),Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Gait Patterns or Rhythms,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Face,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Fingerprints,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Iris,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Palm,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Retina,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Keystroke Patterns or Rhythms,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Vein patterns,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Outer Ear,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Auricle,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Heart Rate,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Voice/Speech recognition,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Blood Pressure,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Body Temperature,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Meeting Recordings (Zoom， Teams， etc.),Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Processed Voice Recordings,Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,Voice Recordings,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Raw Voice Recordings,Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw),Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Processed),Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw or processed),Highly Sensitive,Personal Information,Global
English,All Domains,Controllership,Master Data,Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GFR),Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GNFR),Sensitive,Business Information,Global
English,All Domains,Demographic Information,Age,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Age,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Date of birth,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Date of birth,Sensitive,Personal Information,South Africa
English,All Domains,Demographic Information,Date of Incorporation,Highly Sensitive,Business Information,Canada
English,All Domains,Demographic Information,Date of Incorporation,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Demographic Categories / Segmentation,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Demographic Categories / Segmentation,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Family Member and Relative Information,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family Member and Relative Information,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Family status and domestic information,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family status and domestic information,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Height and/or weight,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Height and/or weight,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Household Income Data,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Language Skills,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Language Skills,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Number of Children,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Number of Children,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Company Member Website/URL,Non-Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Calendar Information,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Call Logs,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Cellular/Pager Phone Number,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Company/Member Email,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Contact/Address Book,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Mobile device identifiers (MAC address， IMEI， SIM etc.),Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Online identifiers (IP address， Machine ID， etc.),Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal email address,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Chat Addresses ,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal mobile number,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal social media username,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Social Media Profile,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal IMEI (International Mobile Equipment Identity) Number,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Business IMEI (International Mobile Equipment Identity) Number,Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Unique Device Identifier,Sensitive,Personal Information,Global
English,All Domains,Education Information,Academic Record,Sensitive,Personal Information,Global
English,All Domains,Education Information,Degrees and Schooling,Sensitive,Personal Information,Global
English,All Domains,Education Information,Education and Qualifications,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Corporate held Credit or Debit Card Numbers,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Grievance， disciplinary， and claim-related information,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Medical Questionnaire,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Permit to Work,Highly Sensitive,Personal Information,Global
