1,4.50,4.66,4.50,72%,Process Only,Foundation + Process,Process Only,Process Only
2,4.47,4.82,4.57,66%,Process Only,Process Only,Process Only,Foundation + Process
3,4.33,4.75,4.48,66%,Process Only,Process Only,Process Only,Foundation + Process
4,4.41,4.77,4.43,67%,Process Only,Process Only,Process Only,Foundation + Process
5,4.56,4.75,4.57,76%,Process Only,Process Only,Process Only,Process Only
7,4.47,4.74,4.33,73%,Process Only,Process Only,Foundation + Process,Process Only
8,4.30,4.77,4.13,70%,Foundation + Process,Process Only,Foundation + Process,Process Only
9,4.53,4.63,4.48,68%,Process Only,Foundation + Process,Process Only,Process Only
10,4.43,4.77,4.53,66%,Process Only,Process Only,Process Only,Foundation + Process
11,4.49,4.77,4.54,71%,Process Only,Process Only,Process Only,Process Only
12,4.39,4.73,4.39,74%,Process Only,Process Only,Process Only,Process Only
13,4.27,4.81,4.46,63%,Foundation + Process,Process Only,Process Only,Foundation + Process
14,4.35,4.77,4.46,65%,Process Only,Process Only,Process Only,Foundation + Process
15,4.36,4.78,4.39,64%,Process Only,Process Only,Process Only,Foundation + Process
16,4.59,4.81,4.67,74%,Process Only,Process Only,Process Only,Process Only
17,4.30,4.78,4.35,68%,Foundation + Process,Process Only,Foundation + Process,Process Only
18,4.57,4.87,4.48,75%,Process Only,Process Only,Process Only,Process Only
19,4.35,4.75,4.42,67%,Process Only,Process Only,Process Only,Foundation + Process
20,4.33,4.73,4.36,64%,Process Only,Process Only,Foundation + Process,Foundation + Process
21,4.29,4.81,4.33,67%,Foundation + Process,Process Only,Foundation + Process,Foundation + Process
22,4.32,4.68,4.34,73%,Foundation + Process,Process Only,Foundation + Process,Process Only
23,4.42,4.71,4.44,68%,Process Only,Process Only,Process Only,Process Only
24,4.58,4.71,4.55,72%,Process Only,Process Only,Process Only,Process Only
25,4.36,4.74,4.48,54%,Process Only,Process Only,Process Only,Foundation + Process
26,4.42,4.75,4.49,66%,Process Only,Process Only,Process Only,Foundation + Process
27,4.30,4.83,4.33,73%,Foundation + Process,Process Only,Foundation + Process,Process Only
28,4.39,4.77,4.31,81%,Process Only,Process Only,Foundation + Process,Process Only
29,4.53,4.75,4.69,65%,Process Only,Process Only,Process Only,Foundation + Process
30,4.41,4.83,4.50,67%,Process Only,Process Only,Process Only,Foundation + Process
31,4.41,4.79,4.46,69%,Process Only,Process Only,Process Only,Process Only
32,4.37,4.70,4.47,71%,Process Only,Process Only,Process Only,Process Only
33,4.48,4.85,4.57,71%,Process Only,Process Only,Process Only,Process Only
34,4.24,4.78,4.43,70%,Foundation + Process,Process Only,Process Only,Process Only
35,4.40,4.76,4.29,74%,Process Only,Process Only,Foundation + Process,Process Only
36,4.41,4.74,4.32,70%,Process Only,Process Only,Foundation + Process,Process Only
37,4.42,4.78,4.43,70%,Process Only,Process Only,Process Only,Process Only
38,4.44,4.82,4.47,63%,Process Only,Process Only,Process Only,Foundation + Process
39,4.35,4.78,4.46,75%,Process Only,Process Only,Process Only,Process Only
40,4.47,4.73,4.38,64%,Process Only,Process Only,Process Only,Foundation + Process
41,4.21,4.72,4.43,71%,Foundation + Process,Process Only,Process Only,Process Only
42,4.43,4.80,4.43,64%,Process Only,Process Only,Process Only,Foundation + Process
43,4.37,4.71,4.45,67%,Process Only,Process Only,Process Only,Foundation + Process
44,4.41,4.74,4.51,77%,Process Only,Process Only,Process Only,Process Only
45,4.44,4.55,4.31,65%,Process Only,Foundation + Process,Foundation + Process,Foundation + Process
46,4.36,4.70,4.48,66%,Process Only,Process Only,Process Only,Foundation + Process
47,4.43,4.79,4.61,73%,Process Only,Process Only,Process Only,Process Only
48,4.32,4.79,4.51,62%,Foundation + Process,Process Only,Process Only,Foundation + Process
49,4.42,4.79,4.51,73%,Process Only,Process Only,Process Only,Process Only
50,4.35,4.86,4.40,76%,Process Only,Process Only,Process Only,Process Only
51,4.34,4.79,4.16,60%,Process Only,Process Only,Foundation + Process,Foundation + Process
52,4.54,4.82,4.58,73%,Process Only,Process Only,Process Only,Process Only
54,4.40,4.67,4.44,71%,Process Only,Foundation + Process,Process Only,Process Only
55,4.47,4.87,4.72,78%,Process Only,Process Only,Process Only,Process Only
56,4.42,4.86,4.61,75%,Process Only,Process Only,Process Only,Process Only
57,4.53,4.92,4.66,73%,Process Only,Process Only,Process Only,Process Only
58,4.47,4.78,4.38,66%,Process Only,Process Only,Process Only,Foundation + Process
59,4.33,4.77,4.47,68%,Process Only,Process Only,Process Only,Process Only
60,3.94,4.65,4.16,69%,Foundation + Process,Foundation + Process,Foundation + Process,Process Only
61,4.45,4.74,4.56,64%,Process Only,Process Only,Process Only,Foundation + Process
62,4.33,4.66,4.37,76%,Process Only,Foundation + Process,Foundation + Process,Process Only
63,4.34,4.82,4.51,77%,Process Only,Process Only,Process Only,Process Only
64,4.45,4.76,4.50,75%,Process Only,Process Only,Process Only,Process Only
65,4.39,4.78,4.40,71%,Process Only,Process Only,Process Only,Process Only
66,4.54,4.81,4.61,76%,Process Only,Process Only,Process Only,Process Only
67,4.51,4.89,4.70,71%,Process Only,Process Only,Process Only,Process Only
68,4.43,4.81,4.39,73%,Process Only,Process Only,Process Only,Process Only
69,4.30,4.77,4.41,64%,Foundation + Process,Process Only,Process Only,Foundation + Process
70,4.51,4.60,4.39,68%,Process Only,Foundation + Process,Process Only,Process Only
71,4.46,4.81,4.53,75%,Process Only,Process Only,Process Only,Process Only
72,4.38,4.75,4.57,66%,Process Only,Process Only,Process Only,Foundation + Process
73,4.58,4.75,4.54,74%,Process Only,Process Only,Process Only,Process Only
74,4.51,4.76,4.54,79%,Process Only,Process Only,Process Only,Process Only
75,4.45,4.74,4.31,75%,Process Only,Process Only,Foundation + Process,Process Only
76,4.35,4.74,4.47,69%,Process Only,Process Only,Process Only,Process Only
77,4.47,4.71,4.47,65%,Process Only,Process Only,Process Only,Foundation + Process
78,4.38,4.78,4.44,65%,Process Only,Process Only,Process Only,Foundation + Process
79,4.52,4.77,4.51,75%,Process Only,Process Only,Process Only,Process Only
80,4.47,4.65,4.56,71%,Process Only,Foundation + Process,Process Only,Process Only
81,4.56,4.83,4.66,66%,Process Only,Process Only,Process Only,Foundation + Process
82,4.42,4.81,4.46,64%,Process Only,Process Only,Process Only,Foundation + Process
83,4.48,4.78,4.36,75%,Process Only,Process Only,Foundation + Process,Process Only
85,4.46,4.76,4.48,71%,Process Only,Process Only,Process Only,Process Only
86,4.37,4.73,4.45,68%,Process Only,Process Only,Process Only,Process Only
87,4.48,4.82,4.48,75%,Process Only,Process Only,Process Only,Process Only
88,4.45,4.75,4.45,62%,Process Only,Process Only,Process Only,Foundation + Process
89,4.56,4.77,4.60,70%,Process Only,Process Only,Process Only,Process Only
90,4.43,4.79,4.41,86%,Process Only,Process Only,Process Only,Process Only
91,4.27,4.67,4.31,73%,Foundation + Process,Foundation + Process,Foundation + Process,Process Only
92,4.28,4.81,4.43,71%,Foundation + Process,Process Only,Process Only,Process Only
93,4.52,4.75,4.61,71%,Process Only,Process Only,Process Only,Process Only
94,4.36,4.69,4.14,66%,Process Only,Process Only,Foundation + Process,Foundation + Process
95,4.36,4.77,4.39,58%,Process Only,Process Only,Process Only,Foundation + Process
96,4.38,4.72,4.40,62%,Process Only,Process Only,Process Only,Foundation + Process
97,4.55,4.76,4.57,84%,Process Only,Process Only,Process Only,Process Only
98,4.46,4.76,4.31,74%,Process Only,Process Only,Foundation + Process,Process Only
99,4.56,4.72,4.61,66%,Process Only,Process Only,Process Only,Foundation + Process
100,4.46,4.69,4.60,70%,Process Only,Process Only,Process Only,Process Only
101,4.38,4.76,4.52,66%,Process Only,Process Only,Process Only,Foundation + Process
102,4.44,4.80,4.38,74%,Process Only,Process Only,Process Only,Process Only
103,4.47,4.72,4.50,73%,Process Only,Process Only,Process Only,Process Only
104,4.52,4.81,4.60,76%,Process Only,Process Only,Process Only,Process Only
105,4.54,4.78,4.54,74%,Process Only,Process Only,Process Only,Process Only
106,4.49,4.81,4.64,73%,Process Only,Process Only,Process Only,Process Only
107,4.39,4.78,4.60,65%,Process Only,Process Only,Process Only,Foundation + Process
108,4.47,4.80,4.46,70%,Process Only,Process Only,Process Only,Process Only
109,4.35,4.74,4.55,66%,Process Only,Process Only,Process Only,Foundation + Process
110,4.46,4.63,4.59,76%,Process Only,Foundation + Process,Process Only,Process Only
111,4.18,4.80,4.40,65%,Foundation + Process,Process Only,Process Only,Foundation + Process
112,4.32,4.54,4.45,67%,Foundation + Process,Foundation + Process,Process Only,Foundation + Process
113,4.41,4.77,4.34,71%,Process Only,Process Only,Foundation + Process,Process Only
114,4.48,4.80,4.46,66%,Process Only,Process Only,Process Only,Foundation + Process
115,4.26,4.69,4.22,70%,Foundation + Process,Process Only,Foundation + Process,Process Only
116,4.63,4.92,4.75,76%,Process Only,Process Only,Process Only,Process Only
117,4.09,4.84,4.55,83%,Foundation + Process,Process Only,Process Only,Process Only
118,4.55,4.82,4.68,77%,Process Only,Process Only,Process Only,Process Only
119,4.40,4.81,4.53,69%,Process Only,Process Only,Process Only,Process Only
120,4.66,4.72,4.68,73%,Process Only,Process Only,Process Only,Process Only
121,4.41,4.78,4.57,60%,Process Only,Process Only,Process Only,Foundation + Process
122,4.41,4.82,4.39,65%,Process Only,Process Only,Process Only,Foundation + Process
123,4.48,4.69,4.47,71%,Process Only,Process Only,Process Only,Process Only
124,4.45,4.59,4.35,72%,Process Only,Foundation + Process,Foundation + Process,Process Only
125,4.43,4.72,4.56,77%,Process Only,Process Only,Process Only,Process Only
126,4.53,4.60,4.42,78%,Process Only,Foundation + Process,Process Only,Process Only
127,4.57,4.83,4.59,72%,Process Only,Process Only,Process Only,Process Only
128,4.49,4.69,4.41,74%,Process Only,Process Only,Process Only,Process Only
129,4.43,4.72,4.48,69%,Process Only,Process Only,Process Only,Process Only
130,4.37,4.72,4.45,76%,Process Only,Process Only,Process Only,Process Only
131,4.31,4.72,4.45,63%,Foundation + Process,Process Only,Process Only,Foundation + Process
132,4.23,4.81,4.26,72%,Foundation + Process,Process Only,Foundation + Process,Process Only
133,4.33,4.89,4.30,66%,Process Only,Process Only,Foundation + Process,Foundation + Process
134,4.45,4.83,4.35,71%,Process Only,Process Only,Foundation + Process,Process Only
135,4.08,4.80,4.25,70%,Foundation + Process,Process Only,Foundation + Process,Process Only
136,4.19,4.77,4.72,80%,Foundation + Process,Process Only,Process Only,Process Only
137,4.40,4.75,4.52,76%,Process Only,Process Only,Process Only,Process Only
138,4.32,4.72,4.35,66%,Foundation + Process,Process Only,Foundation + Process,Foundation + Process
139,4.43,4.79,4.56,82%,Process Only,Process Only,Process Only,Process Only
