Store,Tier
5,Tier 2
10,Tier 2
12,Tier 2
23,Tier 1 
35,Tier 1 
45,Tier 2
51,Tier 2
58,Tier 2
61,Tier 1 
72,Tier 1 
80,Tier 1 
83,Tier 2
100,Tier 2
108,Tier 2
112,Tier 1 
124,Tier 2
137,Tier 1 
144,Tier 1 
154,Tier 2
155,Tier 2
157,Tier 1 
159,Tier 1 
163,Tier 1 
170,Tier 2
188,Tier 1 
189,Tier 1 
196,Tier 1 
202,Tier 2
212,Tier 1 
227,Tier 2
240,Tier 2
243,Tier 2
256,Tier 1 
285,Tier 1 
299,Tier 2
318,Tier 1 
321,Tier 1 
322,Tier 1 
332,Tier 1 
348,Tier 2
350,Tier 2
351,Tier 2
355,Tier 1 
356,Tier 1 
359,Tier 1 
363,Tier 2
365,Tier 2
369,Tier 2
382,Tier 2
392,Tier 2
404,Tier 1 
407,Tier 1 
410,Tier 1 
419,Tier 2
422,Tier 2
433,Tier 1 
442,Tier 1 
451,Tier 1 
467,Tier 1 
481,Tier 2
484,Tier 1 
489,Tier 1 
490,Tier 2
492,Tier 2
495,Tier 2
501,Tier 2
507,Tier 2
531,Tier 2
536,Tier 1 
538,Tier 2
541,Tier 2
548,Tier 2
557,Tier 2
573,Tier 2
577,Tier 2
583,Tier 2
585,Tier 2
587,Tier 2
588,Tier 2
590,Tier 2
598,Tier 2
610,Tier 1 
612,Tier 2
624,Tier 2
633,Tier 2
635,Tier 2
645,Tier 1 
646,Tier 2
647,Tier 2
648,Tier 2
651,Tier 2
657,Tier 1 
659,Tier 1 
664,Tier 1 
674,Tier 2
698,Tier 2
699,Tier 1 
715,Tier 1 
719,Tier 2
720,Tier 2
722,Tier 1 
723,Tier 1 
749,Tier 1 
753,Tier 1 
754,Tier 1 
758,Tier 2
774,Tier 2
776,Tier 2
786,Tier 1 
790,Tier 2
793,Tier 1 
794,Tier 2
801,Tier 1 
806,Tier 1 
824,Tier 2
850,Tier 2
853,Tier 2
869,Tier 2
875,Tier 2
877,Tier 2
885,Tier 2
889,Tier 2
890,Tier 1 
892,Tier 2
902,Tier 2
903,Tier 2
905,Tier 2
913,Tier 2
916,Tier 1 
918,Tier 2
921,Tier 2
923,Tier 2
924,Tier 2
928,Tier 2
937,Tier 1 
938,Tier 2
939,Tier 1 
945,Tier 1 
958,Tier 1 
961,Tier 2
978,Tier 2
980,Tier 2
989,Tier 2
992,Tier 2
993,Tier 2
1005,Tier 2
1016,Tier 2
1019,Tier 2
1034,Tier 2
1035,Tier 2
1044,Tier 2
1045,Tier 1 
1051,Tier 2
1053,Tier 2
1054,Tier 2
1072,Tier 2
1076,Tier 1 
1077,Tier 2
1081,Tier 1 
1095,Tier 2
1102,Tier 1 
1117,Tier 2
1121,Tier 1 
1125,Tier 1 
1129,Tier 2
1136,Tier 2
1138,Tier 1 
1139,Tier 1 
1150,Tier 1 
1152,Tier 2
1153,Tier 2
1156,Tier 2
1161,Tier 2
1175,Tier 1 
1177,Tier 2
1183,Tier 1 
1185,Tier 1 
1191,Tier 2
1193,Tier 2
1198,Tier 2
1204,Tier 2
1206,Tier 1 
1214,Tier 2
1229,Tier 2
1230,Tier 2
1232,Tier 1 
1241,Tier 2
1252,Tier 2
1253,Tier 1 
1254,Tier 1 
1263,Tier 2
1274,Tier 1 
1282,Tier 2
1286,Tier 1 
1287,Tier 1 
1289,Tier 2
1292,Tier 1 
1309,Tier 2
1310,Tier 2
1317,Tier 2
1320,Tier 1 
1325,Tier 2
1330,Tier 2
1336,Tier 2
1341,Tier 1 
1350,Tier 1 
1353,Tier 2
1359,Tier 2
1361,Tier 2
1367,Tier 2
1372,Tier 1 
1376,Tier 2
1379,Tier 1 
1380,Tier 2
1385,Tier 2
1389,Tier 2
1391,Tier 1 
1392,Tier 1 
1393,Tier 2
1400,Tier 1 
1408,Tier 2
1412,Tier 1 
1413,Tier 2
1419,Tier 1 
1424,Tier 1 
1428,Tier 1 
1437,Tier 2
1438,Tier 1 
1439,Tier 1 
1441,Tier 2
1455,Tier 2
1460,Tier 1 
1463,Tier 1 
1472,Tier 2
1473,Tier 1 
1483,Tier 2
1486,Tier 1 
1500,Tier 2
1503,Tier 2
1504,Tier 2
1506,Tier 2
1507,Tier 2
1523,Tier 2
1526,Tier 2
1527,Tier 2
1528,Tier 2
1530,Tier 2
1535,Tier 2
1538,Tier 1 
1543,Tier 2
1545,Tier 1 
1547,Tier 1 
1550,Tier 2
1552,Tier 2
1557,Tier 2
1567,Tier 2
1581,Tier 2
1589,Tier 2
1599,Tier 2
1601,Tier 2
1604,Tier 2
1609,Tier 2
1616,Tier 2
1619,Tier 1 
1622,Tier 1 
1627,Tier 2
1630,Tier 2
1636,Tier 2
1640,Tier 1 
1644,Tier 1 
1649,Tier 2
1656,Tier 2
1665,Tier 1 
1675,Tier 2
