,,,,Dairy ,
,,,,2334,581
Market ,Region ,Store Format ,Store Number,Milk,Butter
323,42,WM Supercenter,1,1,
322,42,WM Supercenter,2,,1
21,2,WM Supercenter,3,,
323,42,WM Supercenter,4,,
326,42,WM Supercenter,5,,
326,42,WM Supercenter,7,1,
326,42,WM Supercenter,8,,
335,40,WM Supercenter,9,1,
347,44,WM Supercenter,10,1,
328,42,WM Supercenter,11,,1
347,44,WM Supercenter,12,,
334,42,WM Supercenter,13,1,
357,40,WM Supercenter,14,,
333,40,WM Supercenter,15,,1
321,42,WM Supercenter,16,,
334,42,WM Supercenter,17,,
328,42,WM Supercenter,18,,
335,40,WM Supercenter,19,,
361,40,WM Supercenter,20,,
336,40,WM Supercenter,21,,
347,44,WM Supercenter,22,1,
135,42,WM Supercenter,23,1,1
326,42,WM Supercenter,24,,
359,40,WM Supercenter,25,,
411,47,WM Supercenter,26,1,
357,40,WM Supercenter,27,,
347,44,WM Supercenter,28,,
336,40,WM Supercenter,29,1,
335,40,WM Supercenter,30,1,
351,44,WM Supercenter,31,,
333,40,Wal-Mart,32,,
325,42,WM Supercenter,33,,
334,42,WM Supercenter,34,,
407,47,WM Supercenter,35,,1
329,11,WM Supercenter,36,1,
335,40,WM Supercenter,37,,
47,44,WM Supercenter,38,,
410,44,WM Supercenter,39,1,
359,40,WM Supercenter,40,,
345,44,WM Supercenter,41,,1
410,44,WM Supercenter,42,,
407,47,WM Supercenter,43,1,
336,40,Wal-Mart,44,,
329,11,WM Supercenter,45,,
357,40,WM Supercenter,46,1,
351,44,WM Supercenter,47,,
334,42,WM Supercenter,48,1,
47,44,WM Supercenter,49,,
347,44,WM Supercenter,50,,
359,40,WM Supercenter,51,,
325,42,WM Supercenter,52,1,
322,42,WM Supercenter,54,,
321,42,WM Supercenter,55,,
333,40,WM Supercenter,56,1,
328,42,Wal-Mart,57,,
325,42,WM Supercenter,58,,
334,42,WM Supercenter,59,,
339,40,WM Supercenter,60,,
361,40,WM Supercenter,61,1,1
329,11,WM Supercenter,62,,
347,44,WM Supercenter,63,,
146,11,WM Supercenter,64,,
336,40,WM Supercenter,65,,
321,42,WM Supercenter,66,,
321,42,WM Supercenter,67,,
329,11,WM Supercenter,68,1,
335,40,WM Supercenter,69,,1
329,11,WM Supercenter,70,1,
328,42,WM Supercenter,71,,
410,44,WM Supercenter,72,,
356,44,WM Supercenter,73,1,
329,11,WM Supercenter,74,,
134,13,WM Supercenter,75,,1
322,42,WM Supercenter,76,,
