DC Number,Type,Date,Application,Summary,Status,CRQ
7016,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
7014,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6858,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6097,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6091,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6074,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6059,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6047,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
4047,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
2971,Enhancement/Fix,7/14/2025,SHORE,Stability improvements; database migration cleanup,Deployed,CHG3312760
6071,Decommission,7/14/2025,Mobius,Removing multiple unued reports. No longer needed due to One Atlas conversions.,Deployed,CHG3208169
6065,Decommission,7/14/2025,Mobius,Removing multiple unued reports. No longer needed due to One Atlas conversions.,Deployed,CHG3208169
3010,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
8348,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
7012,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
6099,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
6095,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
6057,Enhancement,7/14/2025,Hawkeye,Enhancing code base for GDC network,Deployed,CHG3330511
6059,Enhancement,7/14/2025,Receiving,Enable ASN flow from iDOC to GDM; preparations for ASN pilot at D 6059,Deployed,CHG3333333
8851,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
7023,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
7017,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
7012,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
6096,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
6095,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
6085,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
6072,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
4154,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
3010,Enhancement,7/14/2025,Order Processing/Order Fulfillment,enable billing of POS jump water trailers,Deployed,CHG3332710
8851,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
7023,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
7017,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
7012,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
6096,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
6095,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
6085,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
6072,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
4154,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
3010,Enhancement,7/14/2025,Order Processing/Order Fulfillment,Pilot; store selection section,Deployed,CHG3332710
8851,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
7023,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
7017,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
7012,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
6096,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
6095,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
6085,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
6072,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
4154,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
3010,Defect Fix,7/15/2025,ESS,Fixing an issue where ESS  won't close out the containers to ship.,Deployed,CHG3338059
8852,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
8397,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7084,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7077,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7048,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7047,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7021,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7013,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
8851,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7023,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7017,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7012,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6096,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6095,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6085,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6072,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
4154,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
3010,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7055,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7030,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7019,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6099,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6073,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6071,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6062,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6055,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
4020,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
2364,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7016,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
7014,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6858,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6097,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6091,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6074,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6059,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6047,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
4047,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
2971,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
8348,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6084,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
6083,Enhancement,7/15/2025,Inventory,SOX compliance: adding index and column for Rapid Relayer,Deployed,CHG3339017
