Store #,Possession Date,G/O Date,Department Number,Category
3183,4/28/2025,8/8/2025,92,60
2122,5/5/2025,8/22/2025,92,60
3429,5/5/2025,8/22/2025,92,60
107,5/12/2025,8/15/2025,92,60
466,5/19/2025,9/5/2025,92,60
486,5/19/2025,9/5/2025,92,60
642,5/19/2025,8/22/2025,92,60
881,5/19/2025,8/22/2025,92,60
1287,5/19/2025,9/5/2025,92,60
1389,5/19/2025,9/5/2025,92,60
1999,5/19/2025,9/5/2025,92,60
2386,5/19/2025,9/19/2025,92,60
2453,5/19/2025,9/5/2025,92,60
2477,5/19/2025,9/5/2025,92,60
2908,5/19/2025,9/5/2025,92,60
3872,5/19/2025,9/5/2025,92,60
3880,5/19/2025,9/5/2025,92,60
5287,5/19/2025,8/22/2025,92,60
5990,5/19/2025,8/22/2025,92,60
5993,5/19/2025,8/22/2025,92,60
591,5/26/2025,8/29/2025,92,60
975,5/26/2025,9/12/2025,92,60
1114,5/26/2025,9/12/2025,92,60
1221,5/26/2025,9/26/2025,92,60
1451,5/26/2025,9/12/2025,92,60
3409,5/26/2025,9/12/2025,92,60
3504,5/26/2025,9/5/2025,92,60
677,6/2/2025,9/19/2025,92,60
2053,6/2/2025,9/5/2025,92,60
4303,6/2/2025,9/19/2025,92,60
1061,6/9/2025,9/12/2025,92,60
629,6/16/2025,10/3/2025,92,60
5713,6/16/2025,9/19/2025,92,60
823,6/23/2025,10/24/2025,92,60
1029,6/23/2025,10/10/2025,92,60
1883,6/23/2025,10/10/2025,92,60
3568,6/23/2025,10/10/2025,92,60
472,6/30/2025,10/31/2025,92,60
1060,6/30/2025,10/17/2025,92,60
1285,6/30/2025,10/17/2025,92,60
931,7/7/2025,11/7/2025,92,60
447,7/21/2025,11/7/2025,92,60
461,7/21/2025,11/7/2025,92,60
529,7/21/2025,11/7/2025,92,60
605,7/21/2025,11/7/2025,92,60
853,7/21/2025,11/7/2025,92,60
876,7/21/2025,11/7/2025,92,60
909,7/21/2025,10/24/2025,92,60
935,7/21/2025,11/7/2025,92,60
953,7/21/2025,11/7/2025,92,60
4233,7/21/2025,11/7/2025,92,60
4635,7/21/2025,11/21/2025,92,60
5145,7/21/2025,11/7/2025,92,60
5684,7/21/2025,11/7/2025,92,60
5857,7/21/2025,10/24/2025,92,60
