Store/Club #,Holiday Rate for Qualified Items
298,1%
300,5%
306,1%
315,3%
316,5%
356,4%
362,5%
394,2%
424,3%
425,2%
562,5%
661,5%
681,1%
691,1%
700,5%
715,6%
726,2%
734,4%
762,1%
764,1%
809,1%
904,3%
930,3%
934,3%
938,3%
1052,2%
1063,1%
1101,4%
1158,5%
1174,1%
1201,5%
1229,5%
1481,1%
1620,2%
1638,6%
1711,1%
2306,6%
2500,6%
2713,1%
2739,3%
2748,3%
3184,1%
3271,4%
3386,1%
4333,3%
4407,3%
4497,1%
4504,1%
4580,1%
4672,3%
4673,4%
4691,3%
5062,4%
5100,1%
5113,1%
5248,6%
5256,6%
5348,3%
5653,3%
6173,3%
7247,2%
