Club,Region,Market,AVG slot increase per hour ,Status
4704,1,1,7,Current Unconstrained Club
4819,1,1,7,Current Unconstrained Club
6621,1,1,7,Current Unconstrained Club
4824,1,1,7,Current Unconstrained Club
6622,1,1,7,Current Unconstrained Club
4799,1,1,6,Current Unconstrained Club
6612,1,1,6,Current Unconstrained Club
6405,1,1,6,Current Unconstrained Club
6455,1,1,5,Current Unconstrained Club
6620,1,1,4,Current Unconstrained Club
6433,1,1,3,Current Unconstrained Club
4755,1,1,2,Hold for space
4767,1,1,2,Hold for space
6410,1,1,2,Hold for space
4768,1,1,2,Current Unconstrained Club
6342,1,10,6,Current Unconstrained Club
4839,1,10,6,Current Unconstrained Club
8224,1,10,6,Current Unconstrained Club
6350,1,10,5,Current Unconstrained Club
6267,1,10,5,Current Unconstrained Club
8263,1,10,5,Current Unconstrained Club
8289,1,10,4,Current Unconstrained Club
7189,1,10,4,Current Unconstrained Club
6238,1,10,3,Current Unconstrained Club
4761,1,10,3,Current Unconstrained Club
8239,1,10,2,Current Unconstrained Club
8241,1,10,2,Current Unconstrained Club
6779,1,10,2,Current Unconstrained Club
4731,1,10,2,Current Unconstrained Club
8117,1,10,2,Current Unconstrained Club
8288,4,11,7,New Unconstrained Club
4742,4,11,7,Current Unconstrained Club
4905,4,11,7,Current Unconstrained Club
8226,4,11,7,Current Unconstrained Club
8269,4,11,7,New Unconstrained Club
8210,4,11,7,New Unconstrained Club
8282,4,11,7,New Unconstrained Club
8268,4,11,6,Current Unconstrained Club
8277,4,11,6,New Unconstrained Club
6439,4,11,6,New Unconstrained Club
6244,4,11,6,Current Unconstrained Club
4948,4,11,3,Current Unconstrained Club
4795,4,11,1,Current Unconstrained Club
4911,4,11,0,Hold for remodel completion
6781,4,11,0,Hold for remodel completion
8267,4,12,8,Current Unconstrained Club
6269,4,12,8,New Unconstrained Club
4850,4,12,8,New Unconstrained Club
8126,4,12,8,New Unconstrained Club
8227,4,12,8,New Unconstrained Club
8262,4,12,7,New Unconstrained Club
4914,4,12,6,New Unconstrained Club
8250,4,12,6,New Unconstrained Club
4939,4,12,6,Current Unconstrained Club
4958,4,12,5,New Unconstrained Club
6471,4,12,4,New Unconstrained Club
6262,4,12,3,Current Unconstrained Club
8156,4,12,2,Hold for space
8264,4,12,2,Hold for space
6367,4,13,8,New Unconstrained Club
6259,4,13,7,New Unconstrained Club
4721,4,13,7,New Unconstrained Club
6245,4,13,7,New Unconstrained Club
6336,4,13,7,New Unconstrained Club
4713,4,13,7,New Unconstrained Club
8286,4,13,6,New Unconstrained Club
6421,4,13,6,Current Unconstrained Club
8245,4,13,6,Current Unconstrained Club
6188,4,13,6,New Unconstrained Club
6338,4,13,6,New Unconstrained Club
4720,4,13,5,New Unconstrained Club
6453,4,13,2,Current Unconstrained Club
8259,4,13,1,Current Unconstrained Club
4906,4,14,7,New Unconstrained Club
8284,4,14,7,Current Unconstrained Club
4783,4,14,7,New Unconstrained Club
6255,4,14,7,New Unconstrained Club
6482,4,14,7,New Unconstrained Club
6265,4,14,7,New Unconstrained Club
6381,4,14,6,New Unconstrained Club
8299,4,14,6,New Unconstrained Club
6422,4,14,6,New Unconstrained Club
6376,4,14,6,New Unconstrained Club
8242,4,14,6,New Unconstrained Club
8248,4,14,5,New Unconstrained Club
4743,4,14,3,Current Unconstrained Club
4925,4,14,1,Current Unconstrained Club
6372,4,14,1,Current Unconstrained Club
4843,4,15,7,Current Unconstrained Club
4702,4,15,7,Current Unconstrained Club
4764,4,15,7,New Unconstrained Club
8281,4,15,7,New Unconstrained Club
4763,4,15,7,Current Unconstrained Club
8244,4,15,7,New Unconstrained Club
8274,4,15,7,Current Unconstrained Club
8275,4,15,6,Current Unconstrained Club
6867,4,15,6,Current Unconstrained Club
6202,4,15,6,New Unconstrained Club
8265,4,15,6,New Unconstrained Club
4712,4,15,5,Current Unconstrained Club
8190,4,15,5,Current Unconstrained Club
4769,4,15,2,Hold for space
8246,4,15,0,Hold for remodel completion
4969,3,16,8,Current Unconstrained Club
8134,3,16,7,New Unconstrained Club
4749,3,16,6,Current Unconstrained Club
8295,3,16,5,New Unconstrained Club
6377,3,16,5,New Unconstrained Club
4825,3,16,4,Current Unconstrained Club
6415,3,16,2,Hold for space
8104,3,16,2,Hold for space
8266,3,16,2,Hold for space
8296,3,16,2,Hold for space
4808,3,16,1,Current Unconstrained Club
8209,3,16,1,Current Unconstrained Club
4985,3,16,0,Hold for remodel completion
4775,4,17,7,New Unconstrained Club
4874,4,17,7,New Unconstrained Club
4790,4,17,7,New Unconstrained Club
4837,4,17,6,New Unconstrained Club
8114,4,17,6,New Unconstrained Club
8273,4,17,6,New Unconstrained Club
8271,4,17,5,New Unconstrained Club
8221,4,17,5,New Unconstrained Club
6527,4,17,5,Current Unconstrained Club
6503,4,17,5,New Unconstrained Club
6521,4,17,5,New Unconstrained Club
8181,4,17,5,New Unconstrained Club
8237,4,17,5,New Unconstrained Club
