STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,MPDD SD/ND,MPDD Delivery Window,First Day MPDD Comments
1156,33,9/16/2025,MPDD,6858,3010,Same Day Delivery,09:00:00-23:59:00,No Change
4431,33,9/16/2025,MPDD,6858,3010,Same Day Delivery,16:00:00-21:00:00,No Change
3504,33,9/16/2025,MPDD,6858,3010,Same Day Delivery,16:00:00-23:59:00,No Change
4224,33,9/16/2025,MPDD,6858,3010,Same Day Delivery,09:00:00-23:59:00,No Change
366,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,18:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
663,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
678,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
680,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
690,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
1080,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
3829,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
3852,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
4166,33,9/16/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
