Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type 
4441,391047299675,7/21/2025,Out for delivery,,FedEx Ground
7339,391047299984,7/21/2025,Out for delivery,,FedEx Ground
3126,391047300271,7/22/2025,Out for delivery,,FedEx Ground
4220,391047300282,7/21/2025,Delivered,7/24/2025,FedEx Ground
3072,391047301050,7/21/2025,Delivered,7/23/2025,FedEx Ground
3713,391047301451,7/21/2025,Out for delivery,,FedEx Ground
6390,391047301532,7/22/2025,Out for delivery,,FedEx Ground
5704,391047301554,7/21/2025,Out for delivery,,FedEx Ground
5744,391047301646,7/22/2025,Out for delivery,,FedEx Ground
3104,391047301727,7/21/2025,Delivered,7/24/2025,FedEx Ground
5615,391047301830,7/21/2025,Delivered,7/24/2025,FedEx Ground
4452,391047301896,7/21/2025,Out for delivery,,FedEx Ground
4603,391047301955,7/21/2025,Out for delivery,,FedEx Ground
4141,391047301988,7/21/2025,Delivered,7/24/2025,FedEx Ground
4432,391047302193,7/21/2025,Out for delivery,,FedEx Ground
5962,391047302208,7/21/2025,Out for delivery,,FedEx Ground
7137,391047302252,7/21/2025,Out for delivery,,FedEx Ground
5979,391047302344,7/21/2025,Out for delivery,,FedEx Ground
5467,391047302447,7/22/2025,Out for delivery,,FedEx Ground
4618,391047302528,7/22/2025,Out for delivery,,FedEx Ground
5007,391047302583,7/21/2025,Out for delivery,,FedEx Ground
3935,391047302664,7/21/2025,Out for delivery,,FedEx Ground
3131,391047302686,7/21/2025,Out for delivery,,FedEx Ground
2835,391047302826,7/22/2025,Out for delivery,,FedEx Ground
377,391047303189,7/21/2025,Out for delivery,,FedEx Ground
5828,391047303568,7/22/2025,Out for delivery,,FedEx Ground
5008,391047303649,7/21/2025,Out for delivery,,FedEx Ground
5367,391047303671,7/21/2025,Out for delivery,,FedEx Ground
4619,391047303720,7/22/2025,Out for delivery,,FedEx Ground
5771,391047304016,7/21/2025,Out for delivery,,FedEx Ground
5094,391047304038,7/22/2025,Out for delivery,,FedEx Ground
4445,391047304120,7/21/2025,Out for delivery,,FedEx Ground
4465,391047304163,7/22/2025,Out for delivery,,FedEx Ground
3450,391047304222,7/22/2025,Out for delivery,,FedEx Ground
5102,391047304380,7/22/2025,Out for delivery,,FedEx Ground
5683,391047304450,7/21/2025,Out for delivery,,FedEx Ground
4577,391047304564,7/22/2025,Out for delivery,,FedEx Ground
4127,391047304634,7/21/2025,Out for delivery,,FedEx Ground
4654,391047304840,7/22/2025,Out for delivery,,FedEx Ground
4367,391047304910,7/22/2025,Out for delivery,,FedEx Ground
4586,391047304954,7/22/2025,Out for delivery,,FedEx Ground
3990,391047305160,7/22/2025,Out for delivery,,FedEx Ground
7162,391047305218,7/21/2025,Out for delivery,,FedEx Ground
7307,391047305310,7/21/2025,Out for delivery,,FedEx Ground
7298,391047305321,7/21/2025,Out for delivery,,FedEx Ground
4233,391047305332,7/21/2025,Out for delivery,,FedEx Ground
5371,391047305413,7/21/2025,Out for delivery,,FedEx Ground
5464,391047305446,7/22/2025,Out for delivery,,FedEx Ground
3315,391047305516,7/21/2025,Out for delivery,,FedEx Ground
2919,391047305744,7/22/2025,Out for delivery,,FedEx Ground
4178,391047305917,7/21/2025,Out for delivery,,FedEx Ground
5366,391047306177,7/21/2025,Out for delivery,,FedEx Ground
4625,391047306269,7/22/2025,Out for delivery,,FedEx Ground
7206,391047318620,7/21/2025,Out for delivery,,FedEx Ground
5365,391047318744,7/21/2025,Out for delivery,,FedEx Ground
3127,391047320479,7/22/2025,Out for delivery,,FedEx Ground
5098,391047322883,7/22/2025,Out for delivery,,FedEx Ground
3844,391047323890,7/21/2025,Out for delivery,,FedEx Ground
4519,391047324084,7/21/2025,Out for delivery,,FedEx Ground
4145,391047325058,7/21/2025,Out for delivery,,FedEx Ground
5780,391047325654,7/22/2025,Delivered,7/24/2025,FedEx Ground
3449,391047325698,7/22/2025,Out for delivery,,FedEx Ground
3743,391047325735,7/22/2025,Out for delivery,,FedEx Ground
5829,391047325919,7/21/2025,Out for delivery,,FedEx Ground
3090,391047325974,7/21/2025,Out for delivery,,FedEx Ground
5608,391047328013,7/21/2025,Out for delivery,,FedEx Ground
4560,391047329009,7/21/2025,Out for delivery,,FedEx Ground
6165,391047330734,7/22/2025,Out for delivery,,FedEx Ground
4466,391047331351,7/22/2025,Out for delivery,,FedEx Ground
5408,391047332759,7/22/2025,Delivered,7/24/2025,FedEx Ground
5279,391047332829,7/21/2025,Out for delivery,,FedEx Ground
3846,391047332998,7/21/2025,Out for delivery,,FedEx Ground
3959,391047333078,7/22/2025,Out for delivery,,FedEx Ground
5774,391047333744,7/22/2025,Out for delivery,,FedEx Ground
3646,391047334155,7/21/2025,Out for delivery,,FedEx Ground
5702,391047334340,7/22/2025,Out for delivery,,FedEx Ground
2590,391047336191,7/21/2025,On the way,,FedEx Ground
7299,391047336640,7/21/2025,Out for delivery,,FedEx Ground
4582,391047336754,7/21/2025,Out for delivery,,FedEx Ground
5776,391047338334,7/22/2025,Out for delivery,,FedEx Ground
5700,391047340448,7/22/2025,Out for delivery,,FedEx Ground
5634,391047341960,7/21/2025,Out for delivery,,FedEx Ground
5383,391047342668,7/21/2025,Out for delivery,,FedEx Ground
8958,391047345222,7/21/2025,On the way,,FedEx Ground
5182,391047346663,7/22/2025,Out for delivery,,FedEx Ground
5611,391047346788,7/21/2025,Out for delivery,,FedEx Ground
4826,391047348552,7/21/2025,Out for delivery,,FedEx Ground
4674,391047348840,7/22/2025,Out for delivery,,FedEx Ground
3542,391047348850,7/22/2025,Out for delivery,,FedEx Ground
2944,391047348910,7/21/2025,Out for delivery,,FedEx Ground
5328,391047349022,7/22/2025,Out for delivery,,FedEx Ground
3579,391047349066,7/22/2025,Out for delivery,,FedEx Ground
2870,391047349147,7/21/2025,Out for delivery,,FedEx Ground
4759,391047349423,7/21/2025,Out for delivery,,FedEx Ground
2396,391047350059,7/21/2025,Out for delivery,,FedEx Ground
3456,391047350070,7/21/2025,Out for delivery,,FedEx Ground
5378,391047350140,7/21/2025,Out for delivery,,FedEx Ground
4563,391047350380,7/21/2025,Delivered,7/24/2025,FedEx Ground
7311,391047351066,7/22/2025,Delivered,7/24/2025,FedEx Ground
4056,391047351240,7/22/2025,Out for delivery,,FedEx Ground
3629,391047351570,7/21/2025,Out for delivery,,FedEx Ground
5923,391047351776,7/21/2025,Out for delivery,,FedEx Ground
