STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
5,675562009,HKITTY POMPOM KEYCH,9.88
5,675562005,STITCH/ANGEL KEYCHN,9.88
5,675562075,HELLO KITTY BFF PDS,8.88
5,675562123,HELLOKITTY HRT PD/ER,7.88
5,675562064,STITCH/ANGEL BFF PD,8.88
5,675562057,HKITTY CRYSTAL PD,8.88
5,675562001,STITCH/ANGEL KEYCHN,8.88
5,675562821,HKITTY/KEROPPI KYCH,8.88
5,675562002,SNOOPY BFF KEYCHAIN,8.88
5,675677760,SPIDERMAN BKPCK KYCH,9.88
5,675562097,KUROMI HOOP EARRING,7.88
5,675562021,STITCH DIARY KEYCH,9.88
5,675562121,HELLO KITTY PD/ER,7.88
5,675562016,MYMELODY PLUSH KEYCH,9.88
5,675562357,JACK PLUSH KEYCHAIN,9.88
5,675677758,HELLOKITTY BFF KEYCH,9.88
5,675677756,STITCH KEYCHAIN BAG,9.88
7,675562010,HELLOKITTY KEYCH BAG,9.88
7,675562121,HELLO KITTY PD/ER,7.88
7,675562005,STITCH/ANGEL KEYCHN,9.88
7,675625465,DEADPL/WLVERNE BFFPD,8.88
7,675677758,HELLOKITTY BFF KEYCH,9.88
11,675562099,HELLO KITTY CRYS ER,8.88
11,675625453,HELLO KITTY CRY ER,8.88
11,675562057,HKITTY CRYSTAL PD,8.88
11,675562121,HELLO KITTY PD/ER,7.88
11,675625465,DEADPL/WLVERNE BFFPD,8.88
11,675677762,KUROMI PLUSH KEYCH,9.88
11,675561998,CHEER BEAR KEYCHAIN,8.88
11,675562685,HELLOKITTY SCRUNCHIE,7.88
11,675562021,STITCH DIARY KEYCH,9.88
11,675562123,HELLOKITTY HRT PD/ER,7.88
11,675562009,HKITTY POMPOM KEYCH,9.88
11,675562097,KUROMI HOOP EARRING,7.88
11,675562821,HKITTY/KEROPPI KYCH,8.88
11,675562357,JACK PLUSH KEYCHAIN,9.88
11,675562524,STITCH BOW CLIP SET,8.88
11,676314867,HELLOKITTY CLIP 4PC,7.88
11,675562006,CINNAMOROLL KEYCHN,9.88
11,675562005,STITCH/ANGEL KEYCHN,9.88
11,675677758,HELLOKITTY BFF KEYCH,9.88
11,675562010,HELLOKITTY KEYCH BAG,9.88
11,675562002,SNOOPY BFF KEYCHAIN,8.88
13,675562028,HELLOKITTY BFF KEYCH,9.88
13,675677762,KUROMI PLUSH KEYCH,9.88
13,676314867,HELLOKITTY CLIP 4PC,7.88
13,675562014,HELLOKITTY PLSH KYCH,9.88
13,675562005,STITCH/ANGEL KEYCHN,9.88
13,675561998,CHEER BEAR KEYCHAIN,8.88
13,675562002,SNOOPY BFF KEYCHAIN,8.88
13,675562821,HKITTY/KEROPPI KYCH,8.88
13,675562010,HELLOKITTY KEYCH BAG,9.88
13,675562685,HELLOKITTY SCRUNCHIE,7.88
13,675562001,STITCH/ANGEL KEYCHN,8.88
13,675562123,HELLOKITTY HRT PD/ER,7.88
13,675562016,MYMELODY PLUSH KEYCH,9.88
13,675562021,STITCH DIARY KEYCH,9.88
13,675562075,HELLO KITTY BFF PDS,8.88
13,675562357,JACK PLUSH KEYCHAIN,9.88
13,675625453,HELLO KITTY CRY ER,8.88
13,675625455,HELLOKITTY EAR SET,7.88
13,675562009,HKITTY POMPOM KEYCH,9.88
13,675562064,STITCH/ANGEL BFF PD,8.88
13,675562083,STITCH CRYSTAL PEND,8.88
13,675562099,HELLO KITTY CRYS ER,8.88
13,675562097,KUROMI HOOP EARRING,7.88
13,675625465,DEADPL/WLVERNE BFFPD,8.88
13,675677758,HELLOKITTY BFF KEYCH,9.88
13,675562121,HELLO KITTY PD/ER,7.88
13,675562524,STITCH BOW CLIP SET,8.88
13,675677756,STITCH KEYCHAIN BAG,9.88
14,675625453,HELLO KITTY CRY ER,8.88
14,675562083,STITCH CRYSTAL PEND,8.88
14,675677757,POOH KEYCHAIN,8.88
14,675625465,DEADPL/WLVERNE BFFPD,8.88
14,675562064,STITCH/ANGEL BFF PD,8.88
14,675562007,KUROMI KEYCHAIN,8.88
14,675562014,HELLOKITTY PLSH KYCH,9.88
14,675562016,MYMELODY PLUSH KEYCH,9.88
14,675562357,JACK PLUSH KEYCHAIN,9.88
14,675562057,HKITTY CRYSTAL PD,8.88
14,675562121,HELLO KITTY PD/ER,7.88
14,675562099,HELLO KITTY CRYS ER,8.88
14,675562009,HKITTY POMPOM KEYCH,9.88
14,675562821,HKITTY/KEROPPI KYCH,8.88
14,675561998,CHEER BEAR KEYCHAIN,8.88
14,675562097,KUROMI HOOP EARRING,7.88
14,675562021,STITCH DIARY KEYCH,9.88
14,675562005,STITCH/ANGEL KEYCHN,9.88
14,675677756,STITCH KEYCHAIN BAG,9.88
14,675562123,HELLOKITTY HRT PD/ER,7.88
14,675562524,STITCH BOW CLIP SET,8.88
14,675562001,STITCH/ANGEL KEYCHN,8.88
